SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
Elemental_Fire_Gauntlet_Special,,,,,,,,,,,,,,,,true,Elemental_Fire_Combustion,false,1000,,3,,1.75,,,,,1.5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,Fire,,true,,,,,,,,,,,,,,,,,,,,DamageTable,MagicGauntlet_Combustion_AOE,,,,,Items/Weapons/spell_fire_gauntlet_special,,,,
Elemental_Fire_Gauntlet_Special_Charged,,,,,,,,,,,,,,,,true,Elemental_Fire_Combustion,false,1000,,3,,4,,,,,1.5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,Fire,,true,,,,,,,,,,,,,,,,,,,,DamageTable,MagicGauntlet_Combustion_AOE,,,,,Items/Weapons/spell_fire_gauntlet_special,,,,
Elemental_CC_Slow,Elemental_CC_Slow,,,,,,,,,,,,,,true,true,Elemental_CC_Slow,false,6000,,5,,3,,,,30,5,,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_fire,,,,
Elemental_CC_Silenced,Elemental_CC_Silenced,,,,,,,,,,,,,,true,true,Elemental_CC_Silenced,false,6000,,5,,3,,,,30,5,,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_fire,,,,
Elemental_CC_Weakness,Elemental_CC_Weakness,,,,,,,,,,,,,,true,true,Elemental_CC_Weakness,false,6000,,5,,3,,,,40,5,,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_fire,,,,
Elemental_Fire_Staff_Heavy,,,,,,,,,,,,,,,true,true,Elemental_Fire_Staff_Heavy,false,13000,,5,,3,,,,20,5,3,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,Fire,,true,,,,,,,,,,,,,,,,,,,,DamageTable,Firestaff_Heavy,,,,,Items/Weapons/spell_fire_staff_heavy,,,,
Elemental_Life_Staff_Buff,Warhammer_GroupBuff,,,,,,,,,,,,,,false,true,,false,6000,,5,,3,,,,20,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Warhammer_GroupBuff,,,,
FireStaff_PillarOfFire,,,,,,,,,,,,,,,true,true,FireStaff_PillarOfFire,false,8000,,5,,2,,,,20,15,3,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,true,false,false,,,,,,,,,,,,,,,,,,,DamageTable,Firestaff_Pillar,,,,,Items/Weapons/spell_fire_staff_heavy,,,,
FireStaff_PillarOfFire_DMG_Upgrade,,,,,,,,,,,,,,,true,true,FireStaff_PillarOfFire,false,8000,,5,,2,,,,20,15,3,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,true,false,false,,,,,,,,,,,,,,,,,,,DamageTable,Firestaff_Pillar_DMG,,,,,Items/Weapons/spell_fire_staff_heavy,,,,
FireStaff_PillarOfFire_Mana_Gain_Upgrade,,,,,,,,,,,,,,,true,true,FireStaff_PillarOfFire,false,8000,,5,,2,,,,20,15,3,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,true,false,false,,,,,,,,,,,,,,,,,,,DamageTable,Firestaff_Pillar_Mana,,,,,Items/Weapons/spell_fire_staff_heavy,,,,
FireStaff_Speed_Bombs,,,,,,,,,,,,,,,true,true,FireStaff_Speed_Cost,false,600,,5,,1,,,,0,5,0,,,0,,,,,,,,,,,Enemy,Ability,Burnout,,,Sphere,Fire,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_leadership,,FireStaff_Speed_Bombs_Spawn,,
FireStaff_Speed_Bombs_Spawn,"FireStaff_Burnout_DOT,FireStaff_Pyro_DOT",,,,,,,,,,,,,,true,true,FireStaff_Speed_Cost,false,13000,,5,,1,,,,1,5,0,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_fire_staff_speed_bomb,,,,
FireStaff_Speed_Bombs_DMG_Upgrade,,,,,,,,,,,,,,,true,true,FireStaff_Speed_Cost,false,600,,5,,2.5,,,,0,5,0,,,0,,,,,,,,,,,Enemy,Ability,Burnout,,,Sphere,Fire,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_leadership,,FireStaff_Speed_Bombs_DMG_Upgrade_Spawn,,
FireStaff_Speed_Bombs_DMG_Upgrade_Spawn,"FireStaff_Burnout_DMG_DOT,FireStaff_Pyro_DOT",,,,,,,,,,,,,,true,true,FireStaff_Speed_Cost,false,13000,,5,,2.5,,,,1,5,0,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_fire_staff_speed_bomb_DMG,,,,
FireStaff_Speed_Bombs_Range_Upgrade,,,,,,,,,,,,,,,true,true,FireStaff_Speed_Cost,false,900,,5,,2.5,,,,0,5,0,,,0,,,,,,,,,,,Enemy,Ability,Burnout,,,Sphere,Fire,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_leadership,,FireStaff_Speed_Bombs_Range_Upgrade_Spawn,,
FireStaff_Speed_Bombs_Range_Upgrade_Spawn,"FireStaff_Burnout_DMG_DOT,FireStaff_Pyro_DOT",,,,,,,,,,,,,,true,true,FireStaff_Speed_Cost,false,13000,,5,,2.5,,,,1,5,0,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_fire_staff_speed_bomb_DMG,,,,
Firestaff_Burnout,FireStaff_Burnout_DOT,,,,true,,,,,,,,,,false,false,FireStaff_Speed_Cost,true,10000,,5,,2.5,,,,0,5,0,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,,false,false,true,,,,,,,,,,,,,,,,,,DamageTable,FireStaff_FireDash,,,,,Items/Weapons/spell_aoe_burnout,,,,
Firestaff_Burnout_Upgrade_Range,FireStaff_Burnout_DOT,,,,true,,,,,,,,,,false,false,FireStaff_Speed_Cost,true,10000,,5,,2.5,,,,0,5,0,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,,false,false,true,,,,,,,,,,,,,,,,,,DamageTable,FireStaff_FireDash,,,,,Items/Weapons/spell_aoe_burnout,,,,
FireStaff_Storm,,,,,,,,,,,,,,,,true,FireStaff_Storm,false,6000,,5,,4.5,,,,20,15,15,,,6,,,,,,150,60,,,,Enemy,Ability,Meteor,,,,Fire,true,true,false,,Meteor,Basic,,,,,,,,,,,,,,,,DamageTable,Firestaff_Storm,,,,,Items/Weapons/spell_meteor_spawn_fire_staff_storm,Items/Weapons/spell_Meteor_Explosion,,,
FireStaff_Storm_Mana_Upgrade,,,,,,,,,,,,,,,,true,FireStaff_Storm_Mana_Upgrade,false,6000,,5,,4.5,,,,20,15,15,,,6,,,,,,150,60,,,,Enemy,Ability,Meteor,,,,Fire,true,true,false,,Meteor,Basic,,,,,,,,,,,,,,,,DamageTable,Firestaff_Storm,,,,,Items/Weapons/spell_meteor_spawn_fire_staff_storm,Items/Weapons/spell_Meteor_Explosion,,,
FireStaff_Storm_Radius_Upgrade,,,,,,,,,,,,,,,,true,FireStaff_Storm_Mana_Upgrade,false,6000,,5,,6.75,,,,20,15,15,,,6,,,,,,150,60,,,,Enemy,Ability,Meteor,,,,Fire,true,true,false,,Meteor,Basic,,,,,,,,,,,,,,,,DamageTable,Firestaff_Storm,,,,,Items/Weapons/spell_meteor_spawn_fire_staff_storm,Items/Weapons/spell_Meteor_Explosion,,,
FireStaff_Storm_Range_Upgrade,,,,,,,,,,,,,,,,true,FireStaff_Storm_Mana_Upgrade,false,6000,,5,,6.75,,,,30,15,15,,,6,,,,,,150,60,,,,Enemy,Ability,Meteor,,,,Fire,true,true,false,,Meteor,Basic,,,,,,,,,,,,,,,,DamageTable,Firestaff_Storm,,,,,Items/Weapons/spell_meteor_spawn_fire_staff_storm,Items/Weapons/spell_Meteor_Explosion,,,
FireStaff_Incinerate,,,,,,,,,,,,,,,true,true,FireStaff_Incinerate,false,1000,,5,,3,,,,0,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,Fire,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,FireStaff_Incinerate,,,,,Items/Weapons/spell_incinerate,,,,
FireStaff_Incinerate_Damage,,,,,,,,,,,,,,,true,true,FireStaff_Incinerate,false,1000,,5,,3,,,,0,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,Fire,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,FireStaff_Incinerate_Damage,,,,,Items/Weapons/spell_incinerate,,,,
FireStaff_Incinerate_Radius,,,,,,,,,,,,,,,true,true,FireStaff_Incinerate,false,1000,,5,,5.5,,,,0,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,Fire,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,FireStaff_Incinerate_Damage,,,,,Items/Weapons/spell_incinerate_upgrade,,,,
FireStaff_Incinerate_Combust,,,,,,,,,,,,,,,true,true,FireStaff_Incinerate,false,1000,,5,,5.5,,,,0,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,Fire,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,Firestaff_Incinerate_COMBUST,,,,,Items/Weapons/spell_incinerate_upgrade,,,,
FireStaff_FlameThrower,,,,,,,,,,,,,,,true,true,FireStaff_FlameThrower,false,-1,,5,,1,,,,,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_flamethrower,,,,
FireStaff_FlameThrower_DMG_Upgrade,,,,,,,,,,,,,,,true,true,FireStaff_FlameThrower,false,-1,,5,,1,,,,,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_flamethrower,,,,
FireStaff_FlameThrower_AoE_Upgrade,,,,,,,,,,,,,,,true,true,FireStaff_FlameThrower,false,-1,,5,,1,,,,,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_flamethrower,,,,
FireStaff_Siege_Intro,,,,,,,,,,,,,,,true,true,,false,5000,,5,,4,,,,1,1.5,,,,5,,,,,,,,,,,Enemy,Ability,AoE,,,,Fire,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_leadership,,,,
FireStaff_Siege_Recharge,,,,,,,,,,,,,,,true,true,,false,4000,,5,,4,,,,1,1.5,,,,4,,,,,,,,,,,Enemy,Ability,AoE,,,,Fire,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_leadership,,,,
FireStaff_Siege_Shoot,,,,,,,,,true,,,,,,true,true,FireStaff_Siege,false,-1,,5,,3,,,,60,5,5,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,true,true,,,FireBall,Siege,,,,,,,,,,,,,,,,DamageTable,Firestaff_Siege,,,,,Items/Weapons/FireSiege_Projectile,Items/Weapons/FireSiege_Explosion,FireStaff_Siege_Shoot_Explosion,,
FireStaff_Siege_Shoot_Explosion,,,,,,,,,,,,,,,true,true,,false,500,,5,,3,,,,25,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,Firestaff_Siege,,,,,Items/Weapons/FireSiege_Explosion,,,,
FireStaff_Siege_Shoot_Damage,,,,,,,,,true,,,,,,true,true,FireStaff_Siege,false,-1,,5,,3,,,,60,5,5,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,true,true,,,FireBall,Siege,,,,,,,,,,,,,,,,DamageTable,Firestaff_Siege_DMG,,,,,Items/Weapons/FireSiege_Projectile,Items/Weapons/FireSiege_Explosion,FireStaff_Siege_Shoot_Explosion_Damage,,
FireStaff_Siege_Shoot_Explosion_Damage,,,,,,,,,,,,,,,true,true,,false,500,,5,,3,,,,25,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,Firestaff_Siege_DMG,,,,,Items/Weapons/FireSiege_Explosion,,,,
FireStaff_Siege_Shoot_Knockdown,,,,,,,,,true,,,,,,true,true,FireStaff_Siege,false,-1,,5,,3,,,,60,5,5,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,true,true,,,FireBall,Siege,,,,,,,,,,,,,,,,DamageTable,Firestaff_Siege_Knockdown,,,,,Items/Weapons/FireSiege_Projectile,Items/Weapons/FireSiege_Explosion,FireStaff_Siege_Shoot_Explosion_Knockdown,,
FireStaff_Siege_Shoot_Explosion_Knockdown,,,,,,,,,,,,,,,true,true,,false,500,,5,,3,,,,25,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Fire,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,Firestaff_Siege_Knockdown,,,,,Items/Weapons/FireSiege_Explosion,,,,
FireStaff_Siege_Shoot_ScorchedEarth,,,,,,,,,true,,,,,,true,true,FireStaff_Siege,false,-1,,5,,3,,,,60,5,5,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,true,true,,,FireBall,Siege,,,,,,,,,,,,,,,,DamageTable,Firestaff_Siege_Knockdown,,,,,Items/Weapons/FireSiege_Projectile_Scorched_Earth,Items/Weapons/Scorched_Earth_AoE,FireStaff_Siege_ScorchedEarth,,
FireStaff_Siege_ScorchedEarth,FireStaff_ScorchedEarth_DOT,,,,,,,,,,,,,,true,true,,false,9000,,5,,3,,,,60,5,5,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,Fire,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Scorched_Earth_AoE,,,,
FireStaff_FireRes_Aura,FireStaff_FireRes_Aura_Passive,,,,true,,,,,true,,,,,false,true,,false,-1,,5,,10,,,,0,5,,,,0,,,,,,,,,,,GroupNoRange,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_leadership_norange,,,,
FireStaff_Damage_Aura,FireStaff_Damaging_Aura_Passive,,,,true,true,true,,,true,,,,,true,true,,false,10000,,5,,4,,,,0,5,10,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_TrialByFire,,,,
FireStaff_FireDMG_Aura,FireStaff_FireDMG_Aura_Passive,,,,true,,,,,true,,,,,false,true,,false,-1,,5,,10,,,,0,5,,,,0,,,,,,,,,,,GroupNoRange,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_leadership_norange,,,,
FireStaff_TEST,,,,,true,,,,,true,,,,,false,false,,true,-1,,5,,10,,,,0,5,,,,0,,,,,,,,,,,Group,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_leadership,,,,
FireStaff_Siege_TargetArc,,,,,,,,,,,,,,,true,true,,false,500,,5,,3,,,,60,5,5,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,,true,,,FireBall,Siege,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_leadership,,,,
FireStaff_Speed_Intro,,,,,,,,,,,,,,,false,false,FireStaff_Speed_Intro,false,500,,,,,,,,,,,,,,,,,,,,,,,,All,Ability,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell_Ability_Firestaff_Fireball,,,,,,,,,true,,,,,,true,true,FireStaff_Siege,false,-1,,5,,3,,,,30,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,true,true,,,FireBall,Siege,,,,,,,,,,,,,,,,DamageTable,Firestaff_Siege,,,,,Items/Weapons/FireSiege_Projectile_Scorched_Earth,Items/Weapons/Scorched_Earth_AoE,Spell_Ability_Firestaff_Fireball_ScorchedEarth,,
Spell_Ability_Firestaff_Fireball_ScorchedEarth,Status_FireStaff_ScorchedEarth_DOT,,,,,,,,,,,,,,true,true,,false,6000,,5,,3,,,,25,5,5,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,Fire,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Scorched_Earth_AoE,,,,
Spell_Ability_Firestaff_Fireball_Upgrade,,,,,,,,,true,,,,,,true,true,FireStaff_Siege,false,-1,,5,,3,,,,30,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,true,true,,,FireBall,Siege,,,,,,,,,,,,,,,,DamageTable,Firestaff_Siege,,,,,Items/Weapons/FireSiege_Projectile_Scorched_Earth,Items/Weapons/Scorched_Earth_AoE_Upgrade,Spell_Ability_Firestaff_Fireball_ScorchedEarth_Upgrade,,
Spell_Ability_Firestaff_Fireball_ScorchedEarth_Upgrade,Status_FireStaff_ScorchedEarth_DOT,,,,,,,,,,,,,,true,true,,false,9000,,5,,3,,,,25,5,5,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,Fire,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Scorched_Earth_AoE_Upgrade,,,,
Spell_Heavy_Firestaff,,,,,,,,,,,,,,,,true,FireStaff_Heavy,false,-1,,,,,,,,5,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,,true,,,FireBall,Charged,,,,,,,,,,,,,,,,DamageTable,Firestaff_PrimaryAttackC2,,,,,items/Weapons/spell_proj_Fire_Charged,,,,
Spell_Heavy_Firestaff_Upgrade,,,,,,,,,,,,,,,,true,,false,-1,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Fire,,true,,,FireBall,Charged,,,,,,,,,,,,,,,,DamageTable,Firestaff_PrimaryAttackC2,,,,,items/Weapons/spell_proj_Fire_Charged,,,,
Spell_Ultimate_Firemage,Status_Ultimate_Firemage,,,,,,,,,true,,,,,true,true,,true,7000,,5,,2,,,,,,,,,,,,,,,,,,,,Self,Celestial,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_firestaff_firemage_ultimate,,,,
Spell_Passive_Firestaff_Pyro_BurnNearby,Status_Passive_Firestaff_Pyro_BurnNearby,,,,true,true,true,,,true,,,,,true,true,,false,10000,,5,,4,,,,0,5,10,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_TrialByFire,,,,
Spell_Ability_FireStaff_Storm,Status_FireStaff_MeteorShower_Damage,,,,,,,,,,,,,,true,true,FireStaff_Storm,false,6000,,10,,4.5,,,,20,15,15,,,6,,,,,,,,,,,Enemy,Elemental,AoE,,,Cylinder,Fire,true,true,false,,,,,,,,,,,,,,,,,,,DamageTable,Firestaff_Storm,,,,,Items/Weapons/MeteorShower_AoE,,,,
Spell_Ability_FireStaff_Storm_Extra,Status_FireStaff_MeteorShower_DamageUpgrade,,,,,,,,,,,,,,true,true,FireStaff_Storm_Mana_Upgrade,false,6000,,10,,4.5,,,,20,15,15,,,6,,,,,,,,,,,Enemy,Elemental,AoE,,,Cylinder,Fire,true,true,false,,,,,,,,,,,,,,,,,,,DamageTable,Firestaff_Storm,,,,,Items/Weapons/MeteorShower_AoE,,,,
Spell_Ability_FireStaff_Incinerate,,,,,,,,,,,,,,,,,FireStaff_Incinerate,true,1000,,5,,3,,,,0,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,Fire,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,FireStaff_Incinerate,,,,,Items/Weapons/spell_incinerate,,,,
Spell_Ability_FireStaff_Incinerate_Upgrade,FireStaff_Pyro_DOT,,,,,,,,,,,,,,,,FireStaff_Incinerate,true,1000,,5,,3,,,,0,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,Fire,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,FireStaff_Incinerate,,,,,Items/Weapons/spell_incinerate,,,,
Spell_Ability_FireStaff_Incinerate_UpgradeFree,FireStaff_Pyro_DOT,,,,,,,,,,,,,,,,,true,1000,,5,,3,,,,0,5,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,Fire,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,FireStaff_Incinerate,,,,,Items/Weapons/spell_incinerate,,,,
