ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
0205_0102_01_Boots,EpicEquipment,,,,,,,0205_0102_d_00_Container_01_Boots,,,02_Quest_Armor_12_Boots,,,,0205_0102_01_Boots_Success,,,,,,,,,false,@0205_0102_01_Boots_title,@0205_0102_01_Boots_description,@0205_0102_01_Boots_start_prompt,@0205_0102_01_Boots_proposal,@0205_0102_01_Boots_incomplete,@complete_available_prompt_DEFAULT,@0205_0102_01_Boots_complete,,,,,,,,,
0205_0102_02_Breastplate,EpicEquipment,,,,,,,0205_0102_d_00_Container_02_Breastplate,,,02_Quest_Armor_12_Breastplate,,,,0205_0102_02_Breastplate_Success,,,,,,,,,false,@0205_0102_02_Breastplate_title,@0205_0102_02_Breastplate_description,@0205_0102_02_Breastplate_start_prompt,@0205_0102_02_Breastplate_proposal,@0205_0102_02_Breastplate_incomplete,@complete_available_prompt_DEFAULT,@0205_0102_02_Breastplate_complete,,,,,,,,,
0205_0102_03_Greaves,EpicEquipment,,,,,,,0205_0102_d_00_Container_03_Greaves,,,02_Quest_Armor_12_Greaves,,,,0205_0102_03_Greaves_Success,,,,,,,,,false,@0205_0102_03_Greaves_title,@0205_0102_03_Greaves_description,@0205_0102_03_Greaves_start_prompt,@0205_0102_03_Greaves_proposal,@0205_0102_03_Greaves_incomplete,@complete_available_prompt_DEFAULT,@0205_0102_03_Greaves_complete,,,,,,,,,
0205_0102_04_Gauntlets,EpicEquipment,,,,,,,0205_0102_d_00_Container_04_Gauntlets,,,02_Quest_Armor_12_Gauntlets,,,,0205_0102_04_Gauntlets_Success,,,,,,,,,false,@0205_0102_04_Gauntlets_title,@0205_0102_04_Gauntlets_description,@0205_0102_04_Gauntlets_start_prompt,@0205_0102_04_Gauntlets_proposal,@0205_0102_04_Gauntlets_incomplete,@complete_available_prompt_DEFAULT,@0205_0102_04_Gauntlets_complete,,,,,,,,,
0205_0102_05_Helm,EpicEquipment,,,,,,,0205_0102_d_00_Container_05_Helm,,,02_Quest_Armor_12_Helm,,,,0205_0102_05_Helm_Success,,,,,,,,,false,@0205_0102_05_Helm_title,@0205_0102_05_Helm_description,@0205_0102_05_Helm_start_prompt,@0205_0102_05_Helm_proposal,@0205_0102_05_Helm_incomplete,@complete_available_prompt_DEFAULT,@0205_0102_05_Helm_complete,,,,,,,,,
9804_M_0001_RankUp,FactionStory_Marauders,,25,,,,,9804_M_0001_d_00_Container_RankUp,,,FactionRank_M_0001_RankUp,,Marauder,,98_M_0001_RankUp_success,,Marauder 1,,,,,true,,false,@98_M_0001_RankUp_title,@98_M_0001_RankUp_description,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,
9806_M_0001_RankUp,FactionStory_Marauders,,25,,,,,9806_M_0001_d_00_Container_RankUp,,,FactionRank_M_0001_RankUp,S_factionhandoff,Marauder,,98_M_0001_RankUp_success,,Marauder 1,,,,,true,,false,@98_M_0001_RankUp_title,@98_M_0001_RankUp_description,@9806_M_0001_RankUp_start,@9806_M_0001_RankUp_proposal,@NPC_DefaultDialogue_1207_06a_Commander,@complete_available_prompt_DEFAULT,,,,,,,,,,
9809_M_0001_RankUp,FactionStory_Marauders,,25,,,,,9809_M_0001_d_00_Container_RankUp,,,FactionRank_M_0001_RankUp,,Marauder,,98_M_0001_RankUp_success,,Marauder 1,,,,,true,,false,@98_M_0001_RankUp_title,@98_M_0001_RankUp_description,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,
9812_M_0001_RankUp,FactionStory_Marauders,,25,,,,,9812_M_0001_d_00_Container_RankUp,,,FactionRank_M_0001_RankUp,S_factionhandoff,Marauder,,98_M_0001_RankUp_success,,Marauder 1,,,,,true,,false,@98_M_0001_RankUp_title,@98_M_0001_RankUp_description,@9812_M_0001_RankUp_start,@9812_M_0001_RankUp_proposal,@NPC_DefaultDialogue_1207_07_Commander,@complete_available_prompt_DEFAULT,,,,,,,,,,
98_M_01_combatprowess,FactionStory_Marauders,,25,,,,,98_M_01_d_00_Container_combatprowess,1007_Commander,,marauders_faction_quest_01,S_factionhandoff,Marauder,20,98_M_01_combatprowess_success,,MarauderTokens 1 1500,,98_M_0102_RankUp,,,true,,true,@98_M_01_combatprowess_title,@98_M_01_combatprowess_description,@98_M_01_combatprowess_start_prompt,@98_M_01_combatprowess_proposal,@98_M_01_combatprowess_incomplete,@complete_available_prompt_DEFAULT,@98_M_01_combatprowess_complete,,,,,,,,,
98_M_0102_RankUp,FactionStory_Marauders,,35,,,,,98_M_0102_d_00_Container_RankUp,,,FactionRank_M_0102_RankUp,S_factionhandoff,Marauder,,98_M_0102_RankUp_success,,Marauder 2,,,,,true,,false,@98_M_0102_RankUp_title,@98_M_0102_RankUp_description,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,
98_M_01b_fenravager,FactionStory_Marauders,,35,,,,,98_M_01b_d_00_Container_fenravager,1307_Commander,,marauders_faction_quest_01b,marauders_faction_quest_01,Marauder,,98_M_01b_fenravager_success,,MarauderTokens 2 3000,,98_M_0203_RankUp,,,true,,true,@98_M_01b_fenravager_title,@98_M_01b_fenravager_description,@98_M_01b_fenravager_start_prompt,@98_M_01b_fenravager_proposal,@98_M_01b_fenravager_incomplete,@complete_available_prompt_DEFAULT,@98_M_01b_fenravager_complete,,,,,,,,,
98_M_0203_RankUp,FactionStory_Marauders,,49,,,,,98_M_0203_d_00_Container_RankUp,,,FactionRank_M_0203_RankUp,,Marauder,,98_M_0203_RankUp_success,,Marauder 3,,,,,true,,false,@98_M_0203_RankUp_title,@98_M_0203_RankUp_description,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,
98_M_02_ultimatewarrior,FactionStory_Marauders,,49,,,,,98_M_02_d_00_Container_ultimatewarrior,1507_Commander,,marauders_faction_quest_02,marauders_faction_quest_01b,Marauder,,98_M_02_ultimatewarrior_success,,MarauderTokens 3 6000,,98_M_0304_RankUp,,,true,,true,@98_M_02_ultimatewarrior_title,@98_M_02_ultimatewarrior_description,@98_M_02_ultimatewarrior_start_prompt,@98_M_02_ultimatewarrior_proposal,@98_M_02_ultimatewarrior_incomplete,@complete_available_prompt_DEFAULT,@98_M_02_ultimatewarrior_complete,,,,,,,,,
98_M_0304_RankUp,FactionStory_Marauders,,60,,,,,98_M_0304_d_00_Container_RankUp,,,FactionRank_M_0304_RankUp,,Marauder,,98_M_0304_RankUp_success,,Marauder 4,,,,,true,,false,@98_M_0304_RankUp_title,@98_M_0304_RankUp_description,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,
98_M_03_darkvengeance,FactionStory_Marauders,,60,,,,,98_M_03_d_00_Container_darkvengeance,0807_Commander,,marauders_faction_quest_03,marauders_faction_quest_02,Marauder,,98_M_03_darkvengeance_success,,MarauderTokens 4 12000,,,,,true,,true,@98_M_03_darkvengeance_title,@98_M_03_darkvengeance_description,@98_M_03_darkvengeance_start_prompt,@98_M_03_darkvengeance_proposal,@98_M_03_darkvengeance_incomplete,@complete_available_prompt_DEFAULT,@98_M_03_darkvengeance_complete,,,,,,,,,
9804_S_0001_RankUp,FactionStory_Syndicate,,25,,,,,9804_S_0001_d_00_Container_RankUp,,,FactionRank_S_0001_RankUp,,Syndicate,,98_S_0001_RankUp_success,,Syndicate 1,,,,,true,,false,@98_S_0001_RankUp_title,@98_S_0001_RankUp_description,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,
9806_S_0001_RankUp,FactionStory_Syndicate,,25,,,,,9806_S_0001_d_00_Container_RankUp,,,FactionRank_S_0001_RankUp,S_factionhandoff,Syndicate,,98_S_0001_RankUp_success,,Syndicate 1,,,,,true,,false,@98_S_0001_RankUp_title,@98_S_0001_RankUp_description,@9806_S_0001_RankUp_start,@9806_S_0001_RankUp_proposal,@NPC_DefaultDialogue_1208_06a_Alchemist,@complete_available_prompt_DEFAULT,,,,,,,,,,
9809_S_0001_RankUp,FactionStory_Syndicate,,25,,,,,9809_S_0001_d_00_Container_RankUp,,,FactionRank_S_0001_RankUp,,Syndicate,,98_S_0001_RankUp_success,,Syndicate 1,,,,,true,,false,@98_S_0001_RankUp_title,@98_S_0001_RankUp_description,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,
9812_S_0001_RankUp,FactionStory_Syndicate,,25,,,,,9812_S_0001_d_00_Container_RankUp,,,FactionRank_S_0001_RankUp,S_factionhandoff,Syndicate,,98_S_0001_RankUp_success,,Syndicate 1,,,,,true,,false,@98_S_0001_RankUp_title,@98_S_0001_RankUp_description,@9812_S_0001_RankUp_start,@9812_S_0001_RankUp_proposal,@NPC_DefaultDialogue_1208_07_Alchemist,@complete_available_prompt_DEFAULT,,,,,,,,,,
98_S_01_theexperiment,FactionStory_Syndicate,,25,,,,,98_S_01_d_00_Container_theexperiment,0208_Alchemist,,syndicate_faction_quest_01,S_factionhandoff,Syndicate,20,98_S_01_theexperiment_success,,SyndicateTokens 1 1500,,98_S_0102_RankUp,,,true,,true,@98_S_01_theexperiment_title,@98_S_01_theexperiment_description,@98_S_01_theexperiment_start_prompt,@98_S_01_theexperiment_proposal,@98_S_01_theexperiment_incomplete,@complete_available_prompt_DEFAULT,@98_S_01_theexperiment_complete,,,,,,,,,
98_S_0102_RankUp,FactionStory_Syndicate,,35,,,,,98_S_0102_d_00_Container_RankUp,,,FactionRank_S_0102_RankUp,S_factionhandoff,Syndicate,,98_S_0102_RankUp_success,,Syndicate 2,,,,,true,,false,@98_S_0102_RankUp_title,@98_S_0102_RankUp_description,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,
98_S_01b_fenscholar,FactionStory_Syndicate,,35,,,,,98_S_01b_d_00_Container_fenscholar,1308_Alchemist,,syndicate_faction_quest_01b,syndicate_faction_quest_01,Syndicate,,98_S_01b_fenscholar_success,,SyndicateTokens 2 3000,,98_S_0203_RankUp,,,true,,true,@98_S_01b_fenscholar_title,@98_S_01b_fenscholar_description,@98_S_01b_fenscholar_start_prompt,@98_S_01b_fenscholar_proposal,@98_S_01b_fenscholar_incomplete,@complete_available_prompt_DEFAULT,@98_S_01b_fenscholar_complete,,,,,,,,,
98_S_0203_RankUp,FactionStory_Syndicate,,49,,,,,98_S_0203_d_00_Container_RankUp,,,FactionRank_S_0203_RankUp,,Syndicate,,98_S_0203_RankUp_success,,Syndicate 3,,,,,true,,false,@98_S_0203_RankUp_title,@98_S_0203_RankUp_description,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,
98_S_02_necromanticchemistry,FactionStory_Syndicate,,49,,,,,98_S_02_d_00_Container_necromanticchemistry,1108_Alchemist,,syndicate_faction_quest_02,syndicate_faction_quest_01b,Syndicate,,98_S_02_necromanticchemistry_success,,SyndicateTokens 3 6000,,98_S_0304_RankUp,,,true,,true,@98_S_02_necromanticchemistry_title,@98_S_02_necromanticchemistry_description,@98_S_02_necromanticchemistry_start_prompt,@98_S_02_necromanticchemistry_proposal,@98_S_02_necromanticchemistry_incomplete,@complete_available_prompt_DEFAULT,@98_S_02_necromanticchemistry_complete,,,,,,,,,
98_S_0304_RankUp,FactionStory_Syndicate,,60,,,,,98_S_0304_d_00_Container_RankUp,,,FactionRank_S_0304_RankUp,,Syndicate,,98_S_0304_RankUp_success,,Syndicate 4,,,,,true,,false,@98_S_0304_RankUp_title,@98_S_0304_RankUp_description,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,
98_S_03_lostnotlost,FactionStory_Syndicate,,60,,,,,98_S_03_d_00_Container_lostnotlost,0508_Alchemist,,syndicate_faction_quest_03,syndicate_faction_quest_02,Syndicate,,98_S_03_lostnotlost_success,,SyndicateTokens 4 12000,,,,,true,,true,@98_S_03_lostnotlost_title,@98_S_03_lostnotlost_description,@98_S_03_lostnotlost_start_prompt,@98_S_03_lostnotlost_proposal,@98_S_03_lostnotlost_incomplete,@complete_available_prompt_DEFAULT,@98_S_03_lostnotlost_complete,,,,,,,,,
