SongId,MusicTitle,Performance,FilterType,NotePattern,SoundBank,Slot01,Slot02,Slot03,Slot04,Slot05,Crowd,Tempo,ScrollSpeed,Duration,HitZone,PerfectZone,DanceTimeline,CompletionGameEvent,TippingDurationMs,HighestRankAchievementId
OldBonesHard,@songtitle_These_Old_Bones,Hard,DefaultPerformance,Expert,MXMI_These_Old_Bones,OldBones_Guitar_Part1_Hard,,,,,These_Old_Bones,104,2.5,61.189,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_OldBonesHard
KingStanleyEasy,@songtitle_Young_King_Stanley,Easy,DefaultPerformance,Novice,MXMI_Young_King_Stanley,KingStanley_Guitar_Part1_Easy,KingStanley_Mandolin_Part1_Easy,KingStanley_Drums_Part1_Easy,KingStanley_URBass_Part1_Easy,,Young_King_Stanley,100,2.5,64.8,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_KingStanleyEasy
KingStanleyMedium,@songtitle_Young_King_Stanley,Medium,DefaultPerformance,Skilled,MXMI_Young_King_Stanley,KingStanley_Guitar_Part1_Medium,KingStanley_Mandolin_Part1_Medium,KingStanley_Drums_Part1_Medium,KingStanley_URBass_Part1_Medium,,Young_King_Stanley,100,2.5,64.8,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_KingStanleyMedium
KingStanleyHard,@songtitle_Young_King_Stanley,Hard,DefaultPerformance,Expert,MXMI_Young_King_Stanley,KingStanley_Guitar_Part1_Hard,KingStanley_Mandolin_Part1_Hard,KingStanley_Drums_Part1_Hard,KingStanley_URBass_Part1_Hard,,Young_King_Stanley,100,2.5,64.8,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_KingStanleyHard
AncientEasy,@songtitle_Ancient,Easy,DefaultPerformance,Novice,MXMI_Ancient,Ancient_AzothFlute_Part1_Easy,Ancient_AzothFlute_Part2_Easy,,,,Ancient,100,2.5,38.5,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_AncientEasy
AncientMedium,@songtitle_Ancient,Medium,DefaultPerformance,Skilled,MXMI_Ancient,Ancient_AzothFlute_Part1_Medium,Ancient_AzothFlute_Part2_Medium,,,,Ancient,100,2.5,38.5,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_AncientMedium
AncientHard,@songtitle_Ancient,Hard,Removed,Expert,MXMI_Ancient,Ancient_AzothFlute_Part1_Hard,Ancient_AzothFlute_Part2_Hard,,,,Ancient,100,2.5,38.5,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_AncientHard
BreatheEasy,@songtitle_Breathe,Easy,DefaultPerformance,Novice,MXMI_Breathe,Breathe_AzothFlute_Part1_Easy,,,,,Breathe,100,2.5,59.638,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_BreatheEasy
BreatheMedium,@songtitle_Breathe,Medium,DefaultPerformance,Skilled,MXMI_Breathe,Breathe_AzothFlute_Part1_Medium,,,,,Breathe,100,2.5,59.638,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_BreatheMedium
BreatheHard,@songtitle_Breathe,Hard,Removed,Expert,MXMI_Breathe,Breathe_AzothFlute_Part1_Hard,,,,,Breathe,100,2.5,59.638,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_BreatheHard
FlourishEasy,@songtitle_Flourish,Easy,DefaultPerformance,Novice,MXMI_Flourish,Flourish_AzothFlute_Part1_Easy,,,,,Flourish,100,2.5,56.997,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_FlourishEasy
FlourishMedium,@songtitle_Flourish,Medium,DefaultPerformance,Skilled,MXMI_Flourish,Flourish_AzothFlute_Part1_Medium,,,,,Flourish,100,2.5,56.997,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_FlourishMedium
FlourishHard,@songtitle_Flourish,Hard,Removed,Expert,MXMI_Flourish,Flourish_AzothFlute_Part1_Hard,,,,,Flourish,100,2.5,56.997,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_FlourishHard
FogEasy,@songtitle_Fog,Easy,DefaultPerformance,Novice,MXMI_Fog,Fog_AzothFlute_Part1_Easy,,,,,Fog,100,2.5,35.938,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_FogEasy
FogMedium,@songtitle_Fog,Medium,DefaultPerformance,Skilled,MXMI_Fog,Fog_AzothFlute_Part1_Medium,,,,,Fog,100,2.5,35.938,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_FogMedium
FogHard,@songtitle_Fog,Hard,Removed,Expert,MXMI_Fog,Fog_AzothFlute_Part1_Hard,,,,,Fog,100,2.5,35.938,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_FogHard
GrowEasy,@songtitle_Grow,Easy,DefaultPerformance,Novice,MXMI_Grow,Grow_AzothFlute_Part1_Easy,,,,,Grow,100,2.5,75.602,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_GrowEasy
GrowMedium,@songtitle_Grow,Medium,DefaultPerformance,Skilled,MXMI_Grow,Grow_AzothFlute_Part1_Medium,,,,,Grow,100,2.5,75.602,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_GrowMedium
GrowHard,@songtitle_Grow,Hard,Removed,Expert,MXMI_Grow,Grow_AzothFlute_Part1_Hard,,,,,Grow,100,2.5,75.602,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_GrowHard
ChasesEasy,@songtitle_Chases_Ranch,Easy,DefaultPerformance,Novice,MXMI_Chases_Ranch,Chases_Guitar_Part1_Easy,Chases_Mandolin_Part1_Easy,Chases_Drums_Part1_Easy,Chases_URBass_Part1_Easy,,Chases_Ranch,110,2.5,64.201,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_ChasesEasy
ChasesMedium,@songtitle_Chases_Ranch,Medium,DefaultPerformance,Skilled,MXMI_Chases_Ranch,Chases_Guitar_Part1_Medium,Chases_Mandolin_Part1_Medium,Chases_Drums_Part1_Medium,Chases_URBass_Part1_Medium,,Chases_Ranch,110,2.5,64.201,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_ChasesMedium
ChasesHard,@songtitle_Chases_Ranch,Hard,DefaultPerformance,Expert,MXMI_Chases_Ranch,Chases_Guitar_Part1_Hard,Chases_Mandolin_Part1_Hard,Chases_Drums_Part1_Hard,Chases_URBass_Part1_Hard,,Chases_Ranch,110,2.5,64.201,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_ChasesHard
GiftEasy,@songtitle_Gift,Easy,DefaultPerformance,Novice,MXMI_Gift,Gift_AzothFlute_Part1_Easy,,,,,Gift,100,2.5,60.888,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_GiftEasy
GiftMedium,@songtitle_Gift,Medium,DefaultPerformance,Skilled,MXMI_Gift,Gift_AzothFlute_Part1_Medium,,,,,Gift,100,2.5,60.888,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_GiftMedium
GiftHard,@songtitle_Gift,Hard,Removed,Expert,MXMI_Gift,Gift_AzothFlute_Part1_Hard,,,,,Gift,100,2.5,60.888,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_GiftHard
HarvestEasy,@songtitle_Harvest,Easy,DefaultPerformance,Novice,MXMI_Harvest,Harvest_AzothFlute_Part1_Easy,,,,,Harvest,100,2.5,55.494,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_HarvestEasy
HarvestMedium,@songtitle_Harvest,Medium,DefaultPerformance,Skilled,MXMI_Harvest,Harvest_AzothFlute_Part1_Medium,,,,,Harvest,100,2.5,55.494,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_HarvestMedium
HarvestHard,@songtitle_Harvest,Hard,Removed,Expert,MXMI_Harvest,Harvest_AzothFlute_Part1_Hard,,,,,Harvest,100,2.5,55.494,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_HarvestHard
MidnightEasy,@songtitle_Midnight_Harmony,Easy,DefaultPerformance,Novice,MXMI_Midnight_Harmony,Midnight_Guitar_Part1_Easy,Midnight_URBass_Part1_Easy,,,,Midnight_Harmony,120,2.5,104.64,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_MidnightEasy
MidnightMedium,@songtitle_Midnight_Harmony,Medium,DefaultPerformance,Skilled,MXMI_Midnight_Harmony,Midnight_Guitar_Part1_Medium,Midnight_URBass_Part1_Medium,,,,Midnight_Harmony,120,2.5,104.64,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_MidnightMedium
MidnightHard,@songtitle_Midnight_Harmony,Hard,DefaultPerformance,Expert,MXMI_Midnight_Harmony,Midnight_Guitar_Part1_Hard,Midnight_URBass_Part1_Hard,,,,Midnight_Harmony,120,2.5,104.64,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_MidnightHard
PonderEasy,@songtitle_Ponder,Easy,DefaultPerformance,Novice,MXMI_Ponder,Ponder_AzothFlute_Part1_Easy,,,,,Ponder,100,2.5,35.678,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_PonderEasy
PonderMedium,@songtitle_Ponder,Medium,DefaultPerformance,Skilled,MXMI_Ponder,Ponder_AzothFlute_Part1_Medium,,,,,Ponder,100,2.5,35.678,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_PonderMedium
PonderHard,@songtitle_Ponder,Hard,Removed,Expert,MXMI_Ponder,Ponder_AzothFlute_Part1_Hard,,,,,Ponder,100,2.5,35.678,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_PonderHard
WindsBrightwoodEasy,@songtitle_Winds_Of_Brightwood,Easy,DefaultPerformance,Novice,MXMI_Winds_Of_Brightwood,WindsBrightwood_Guitar_Part1_Easy,,,,,Winds_Of_Brightwood,132,2.5,58.181,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_WindsBrightwoodEasy
WindsBrightwoodMedium,@songtitle_Winds_Of_Brightwood,Medium,DefaultPerformance,Skilled,MXMI_Winds_Of_Brightwood,WindsBrightwood_Guitar_Part1_Medium,,,,,Winds_Of_Brightwood,132,2.5,58.181,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_WindsBrightwoodMedium
WindsBrightwoodHard,@songtitle_Winds_Of_Brightwood,Hard,DefaultPerformance,Expert,MXMI_Winds_Of_Brightwood,WindsBrightwood_Guitar_Part1_Hard,,,,,Winds_Of_Brightwood,132,2.5,58.181,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_WindsBrightwoodHard
PyreEasy,@songtitle_Pyre,Easy,DefaultPerformance,Novice,MXMI_Pyre,Pyre_AzothFlute_Part1_Easy,,,,,Pyre,100,2.5,51.915,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_PyreEasy
PyreMedium,@songtitle_Pyre,Medium,DefaultPerformance,Skilled,MXMI_Pyre,Pyre_AzothFlute_Part1_Medium,,,,,Pyre,100,2.5,51.915,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_PyreMedium
PyreHard,@songtitle_Pyre,Hard,Removed,Expert,MXMI_Pyre,Pyre_AzothFlute_Part1_Hard,,,,,Pyre,100,2.5,51.915,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_PyreHard
RiseEasy,@songtitle_Rise,Easy,DefaultPerformance,Novice,MXMI_Rise,Rise_AzothFlute_Part1_Easy,,,,,Rise,100,2.5,83.703,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_RiseEasy
RiseMedium,@songtitle_Rise,Medium,DefaultPerformance,Skilled,MXMI_Rise,Rise_AzothFlute_Part1_Medium,,,,,Rise,100,2.5,83.703,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_RiseMedium
RiseHard,@songtitle_Rise,Hard,Removed,Expert,MXMI_Rise,Rise_AzothFlute_Part1_Hard,,,,,Rise,100,2.5,83.703,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_RiseHard
SeedEasy,@songtitle_Seed,Easy,DefaultPerformance,Novice,MXMI_Seed,Seed_AzothFlute_Part1_Easy,,,,,Seed,100,2.5,68.751,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_SeedEasy
SeedMedium,@songtitle_Seed,Medium,DefaultPerformance,Skilled,MXMI_Seed,Seed_AzothFlute_Part1_Medium,,,,,Seed,100,2.5,68.751,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_SeedMedium
SeedHard,@songtitle_Seed,Hard,Removed,Expert,MXMI_Seed,Seed_AzothFlute_Part1_Hard,,,,,Seed,100,2.5,68.751,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_SeedHard
SetEasy,@songtitle_Set,Easy,DefaultPerformance,Novice,MXMI_Set,Set_AzothFlute_Part1_Easy,,,,,Set,100,2.5,72.394,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_SetEasy
SetMedium,@songtitle_Set,Medium,DefaultPerformance,Skilled,MXMI_Set,Set_AzothFlute_Part1_Medium,,,,,Set,100,2.5,72.394,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_SetMedium
SetHard,@songtitle_Set,Hard,Removed,Expert,MXMI_Set,Set_AzothFlute_Part1_Hard,,,,,Set,100,2.5,72.394,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_SetHard
PottersEasy,@songtitle_Potters_Sprint,Easy,DefaultPerformance,Novice,MXMI_Potters_Sprint,Potters_Guitar_Part1_Easy,Potters_Mandolin_Part1_Easy,Potters_Drums_Part1_Easy,Potters_URBass_Part1_Easy,,Potters_Sprint,112,2.5,79.454,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_PottersEasy
PottersMedium,@songtitle_Potters_Sprint,Medium,DefaultPerformance,Skilled,MXMI_Potters_Sprint,Potters_Guitar_Part1_Medium,Potters_Mandolin_Part1_Medium,Potters_Drums_Part1_Medium,Potters_URBass_Part1_Medium,,Potters_Sprint,112,2.5,79.454,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_PottersMedium
PottersHard,@songtitle_Potters_Sprint,Hard,DefaultPerformance,Expert,MXMI_Potters_Sprint,Potters_Guitar_Part1_Hard,Potters_Mandolin_Part1_Hard,Potters_Drums_Part1_Hard,Potters_URBass_Part1_Hard,,Potters_Sprint,112,2.5,79.454,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_PottersHard
MrHarrisonEasy,@songtitle_Dear_Mr_Harrison,Easy,DefaultPerformance,Novice,MXMI_Dear_Mr_Harrison,MrHarrison_Guitar_Part1_Easy,MrHarrison_Guitar_Part2_Easy,MrHarrison_Mandolin_Part1_Easy,MrHarrison_Drums_Part1_Easy,MrHarrison_URBass_Part1_Easy,Dear_Mr_Harrison,180,2.5,72.489,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_MrHarrisonEasy
MrHarrisonMedium,@songtitle_Dear_Mr_Harrison,Medium,DefaultPerformance,Skilled,MXMI_Dear_Mr_Harrison,MrHarrison_Guitar_Part1_Medium,MrHarrison_Guitar_Part2_Medium,MrHarrison_Mandolin_Part1_Medium,MrHarrison_Drums_Part1_Medium,MrHarrison_URBass_Part1_Medium,Dear_Mr_Harrison,180,2.5,72.489,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_MrHarrisonMedium
MrHarrisonHard,@songtitle_Dear_Mr_Harrison,Hard,DefaultPerformance,Expert,MXMI_Dear_Mr_Harrison,MrHarrison_Guitar_Part1_Hard,MrHarrison_Guitar_Part2_Hard,MrHarrison_Mandolin_Part1_Hard,MrHarrison_Drums_Part1_Hard,MrHarrison_URBass_Part1_Hard,Dear_Mr_Harrison,180,2.5,72.489,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_MrHarrisonHard
SaltyBarnicleEasy,@songtitle_Salty_Barnacle_Crust,Easy,DefaultPerformance,Novice,MXMI_Salty_Barnicle_Crust,SaltyBarnicle_Guitar_Part1_Easy,SaltyBarnicle_Mandolin_Part1_Easy,SaltyBarnicle_Mandolin_Part2_Easy,SaltyBarnicle_Drums_Part1_Easy,SaltyBarnicle_URBass_Part1_Easy,Salty_Barnacle_Crust,75,2.5,64.589,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_SaltyBarnicleEasy
SaltyBarnicleMedium,@songtitle_Salty_Barnacle_Crust,Medium,DefaultPerformance,Skilled,MXMI_Salty_Barnicle_Crust,SaltyBarnicle_Guitar_Part1_Medium,SaltyBarnicle_Mandolin_Part1_Medium,SaltyBarnicle_Mandolin_Part2_Medium,SaltyBarnicle_Drums_Part1_Medium,SaltyBarnicle_URBass_Part1_Medium,Salty_Barnacle_Crust,75,2.5,64.589,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_SaltyBarnicleMedium
SaltyBarnicleHard,@songtitle_Salty_Barnacle_Crust,Hard,DefaultPerformance,Expert,MXMI_Salty_Barnicle_Crust,SaltyBarnicle_Guitar_Part1_Hard,SaltyBarnicle_Mandolin_Part1_Hard,SaltyBarnicle_Mandolin_Part2_Hard,SaltyBarnicle_Drums_Part1_Hard,SaltyBarnicle_URBass_Part1_Hard,Salty_Barnacle_Crust,75,2.5,64.589,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_SaltyBarnicleHard
TrustEasy,@songtitle_Trust,Easy,DefaultPerformance,Novice,MXMI_Trust,Trust_AzothFlute_Part1_Easy,,,,,Trust,100,2.5,53.955,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_TrustEasy
TrustMedium,@songtitle_Trust,Medium,DefaultPerformance,Skilled,MXMI_Trust,Trust_AzothFlute_Part1_Medium,,,,,Trust,100,2.5,53.955,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_TrustMedium
TrustHard,@songtitle_Trust,Hard,Removed,Expert,MXMI_Trust,Trust_AzothFlute_Part1_Hard,,,,,Trust,100,2.5,53.955,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_TrustHard
BlacksmithArmEasy,@songtitle_Blacksmith_Arm,Easy,DefaultPerformance,Novice,MXMI_Blacksmith_Arm,BlacksmithArm_Guitar_Part1_Easy,BlacksmithArm_Mandolin_Part1_Easy,BlacksmithArm_Drums_Part1_Easy,BlacksmithArm_URBass_Part1_Easy,,Blacksmith_Arm,152,2.5,53.089,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_BlacksmithArmEasy
BlacksmithArmMedium,@songtitle_Blacksmith_Arm,Medium,DefaultPerformance,Skilled,MXMI_Blacksmith_Arm,BlacksmithArm_Guitar_Part1_Medium,BlacksmithArm_Mandolin_Part1_Medium,BlacksmithArm_Drums_Part1_Medium,BlacksmithArm_URBass_Part1_Medium,,Blacksmith_Arm,152,2.5,53.089,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_BlacksmithArmMedium
BlacksmithArmHard,@songtitle_Blacksmith_Arm,Hard,DefaultPerformance,Expert,MXMI_Blacksmith_Arm,BlacksmithArm_Guitar_Part1_Hard,BlacksmithArm_Mandolin_Part1_Hard,BlacksmithArm_Drums_Part1_Hard,BlacksmithArm_URBass_Part1_Hard,,Blacksmith_Arm,152,2.5,53.089,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_BlacksmithArmHard
MoonlitEasy,@songtitle_Moonlit_Shadows,Easy,DefaultPerformance,Novice,MXMI_Moonlit_Shadows,Moonlit_Guitar_Part1_Easy,,,,,Moonlit_Shadows,130,2.5,73.984,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_MoonlitEasy
MoonlitMedium,@songtitle_Moonlit_Shadows,Medium,DefaultPerformance,Skilled,MXMI_Moonlit_Shadows,Moonlit_Guitar_Part1_Medium,,,,,Moonlit_Shadows,130,2.5,73.984,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_MoonlitMedium
