VariantID,StartMesh,StartMat,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,AudioPreload_Depletion,DepletedSFX,Collision_Play_SFX,Collision_Stop_SFX,CollisionFX,DepletedVFX,DepletedMesh,DepletedMat,StartMeshLOD,EndMeshLOD,AmbientType,ShowOnCompass,CompassIcon,TradeskillIconUnlockType,MarkerRadius,AllowGatheringInGameModes
CarrotPlant_b,Objects\Nature\Veg_Plants\Plants_Forest\Carrot\jav_fst_carrotplant_b.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Carrot\jav_fst_carrotplant_a_mat.mtl,Carrot,0.65,1.8,1.5,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Carrot_B,Objects\Nature\Veg_Plants\Plants_Forest\Carrot\jav_fst_carrotplant_pick_b.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Carrot\jav_fst_carrotplant_a_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Vegetable_Compass.png,FarmPlants,3.3,
CarrotPlant_c,Objects\Nature\Veg_Plants\Plants_Forest\Carrot\jav_fst_carrotplant_c.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Carrot\jav_fst_carrotplant_a_mat.mtl,Carrot,0.65,1.8,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Carrot_C,Objects\Nature\Veg_Plants\Plants_Forest\Carrot\jav_fst_carrotplant_pick_c.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Carrot\jav_fst_carrotplant_a_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Vegetable_Compass.png,FarmPlants,3.3,
CornPlant_a,Objects\Nature\Veg_Plants\Plants_Forest\Corn\jav_fst_cornplant_a.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Corn\JAV_Fst_CornPlant_A_mat.mtl,Corn,1,2.5,2.3,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Corn_A,Objects\Nature\Veg_Plants\Plants_Forest\Corn\jav_fst_cornplant_pick_a.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Corn\JAV_Fst_CornPlant_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Vegetable_Compass.png,FarmPlants,4,
CornPlant_b,Objects\Nature\Veg_Plants\Plants_Forest\Corn\jav_fst_cornplant_b.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Corn\JAV_Fst_CornPlant_A_mat.mtl,Corn,1,2,1.75,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Corn_B,Objects\Nature\Veg_Plants\Plants_Forest\Corn\jav_fst_cornplant_pick_b.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Corn\JAV_Fst_CornPlant_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Vegetable_Compass.png,FarmPlants,3.5,
CornPlant_c,Objects\Nature\Veg_Plants\Plants_Forest\Corn\jav_fst_cornplant_c.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Corn\JAV_Fst_CornPlant_A_mat.mtl,Corn,1,1.8,1.5,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Corn_C,Objects\Nature\Veg_Plants\Plants_Forest\Corn\jav_fst_cornplant_pick_c.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Corn\JAV_Fst_CornPlant_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Vegetable_Compass.png,FarmPlants,3.3,
CranberryBush_a,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_a.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,Cranberry,0.65,2.2,2,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Cranberry_A,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_pick_a.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.7,
CranberryBush_b,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_b.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,Cranberry,0.65,1.8,1.5,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Cranberry_B,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_pick_b.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.3,
CranberryBush_c,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,Cranberry,0.65,1.8,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Cranberry_C,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_pick_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.3,
CranberryBush_b_spri01,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_a.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,BerryBushLarge,0.65,2.2,2,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Cranberry_A,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_pick_a.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.7,
CranberryBush_b_fall01,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_b.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,BerryBushMedium,0.65,1.8,1.5,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Cranberry_B,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_pick_b.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.3,
CranberryBush_b_fall02,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,BerryBushSmall,0.65,1.8,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Cranberry_C,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_pick_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.3,
CranberryBush_b_wint01,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,BerryBushSmall,0.65,1.8,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Cranberry_C,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_pick_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.3,
CranberryBush_c_spri01,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_a.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,BerryBushLarge,0.65,2.2,2,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Cranberry_A,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_pick_a.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.7,
CranberryBush_c_fall01,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_b.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,BerryBushMedium,0.65,1.8,1.5,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Cranberry_B,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_pick_b.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.3,
CranberryBush_c_fall02,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,BerryBushSmall,0.65,1.8,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Cranberry_C,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_pick_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.3,
CranberryBush_c_wint01,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,BerryBushSmall,0.65,1.8,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Cranberry_C,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_pick_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Cranberry\JAV_Fst_CranberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.3,
Grass_Cattail_a,Objects\Nature\Veg_Grass\Grass_Forest\Cattails\jav_fst_cattail_a.cgf,Objects\Nature\Veg_Grass\Grass_Forest\Cattails\JAV_Fst_Cattail_A_mat.mtl,CatTailLarge,0.65,2.2,1.25,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Bush.Demolish.Cattail_Break_A,Objects\Nature\Veg_Grass\Grass_Forest\Cattails\jav_fst_cattail_pick_a.cgf,Objects\Nature\Veg_Grass\Grass_Forest\Cattails\JAV_Fst_Cattail_A_mat.mtl,100,100,Cattail,,,,3.7,
Grass_Cattail_b,Objects\Nature\Veg_Grass\Grass_Forest\Cattails\jav_fst_cattail_b.cgf,Objects\Nature\Veg_Grass\Grass_Forest\Cattails\JAV_Fst_Cattail_A_mat.mtl,CatTailMedium,0.65,1.8,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Bush.Demolish.Cattail_Break_B,Objects\Nature\Veg_Grass\Grass_Forest\Cattails\jav_fst_cattail_pick_b.cgf,Objects\Nature\Veg_Grass\Grass_Forest\Cattails\JAV_Fst_Cattail_A_mat.mtl,100,100,Cattail,,,,3.3,
Grass_Cattail_c,Objects\Nature\Veg_Grass\Grass_Forest\Cattails\jav_fst_cattail_c.cgf,Objects\Nature\Veg_Grass\Grass_Forest\Cattails\JAV_Fst_Cattail_A_mat.mtl,CatTailSmall,0.65,1.8,0.8,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Bush.Demolish.Cattail_Break_C,Objects\Nature\Veg_Grass\Grass_Forest\Cattails\jav_fst_cattail_pick_c.cgf,Objects\Nature\Veg_Grass\Grass_Forest\Cattails\JAV_Fst_Cattail_A_mat.mtl,100,100,Cattail,,,,3.3,
Hemp_a,Objects\Nature\Veg_Bushes\Bushes_Resources\Hemp\jav_rsrc_hemp_a.cgf,Objects\Nature\Veg_Bushes\Bushes_Resources\Hemp\JAV_Rsrc_Hemp_A_mat.mtl,HempLarge,0,1.5,0.75,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Bush.Demolish.Hemp_Summer_A,Objects\Nature\Veg_Bushes\Bushes_Resources\Hemp\jav_rsrc_hemp_pick_a.cgf,Objects\Nature\Veg_Bushes\Bushes_Resources\Hemp\JAV_Rsrc_Hemp_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Hemp_Compass.png,Hemp,3,
Hemp_b,Objects\Nature\Veg_Bushes\Bushes_Resources\Hemp\jav_rsrc_hemp_b.cgf,Objects\Nature\Veg_Bushes\Bushes_Resources\Hemp\JAV_Rsrc_Hemp_A_mat.mtl,HempMedium,0,1.5,0.75,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Bush.Demolish.Hemp_Summer_B,Objects\Nature\Veg_Bushes\Bushes_Resources\Hemp\jav_rsrc_hemp_pick_b.cgf,Objects\Nature\Veg_Bushes\Bushes_Resources\Hemp\JAV_Rsrc_Hemp_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Hemp_Compass.png,Hemp,3,
Hemp_c,Objects\Nature\Veg_Bushes\Bushes_Resources\Hemp\jav_rsrc_hemp_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Resources\Hemp\JAV_Rsrc_Hemp_A_mat.mtl,HempSmall,0,1.5,0.75,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Bush.Demolish.Hemp_Summer_C,Objects\Nature\Veg_Bushes\Bushes_Resources\Hemp\jav_rsrc_hemp_pick_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Resources\Hemp\JAV_Rsrc_Hemp_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Hemp_Compass.png,Hemp,3,
Melons,Objects\Gatherables\Food\Melon\jav_rsrc_melon_a_proxy.cgf,Objects\Gatherables\Food\Melon\JAV_Rsrc_Melon_A_proxy_mat.mtl,Melon,0,2.3,1.5,gath_bush_leaves_small,Play_Gather_Bush_Sml,,,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,,,,100,,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.8,
PumpkinPlant_a,Objects\Nature\Veg_Plants\Plants_Forest\Pumpkin\jav_fst_pumpkinplant_a.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Pumpkin\JAV_Fst_PumpkinPlant_A_mat.mtl,Squash,1,2.5,2,gath_bush_leaves_small,Play_Gather_Bush_Sml,,,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Pumpkin_A,Objects\Nature\Veg_Plants\Plants_Forest\Pumpkin\jav_fst_pumpkinplant_pick_a.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Pumpkin\JAV_Fst_PumpkinPlant_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,4,
