VariantID,NPCId,Name,CharacterDefinition,ByeTimeline,GreetTimeline,IdleTimeline,InteractTimeline,SwapAchievementId,PlaceholderMesh,AttachedMesh,AttachmentPositionX,AttachmentPositionY,AttachmentPositionZ,AttachmentRotationX,AttachmentRotationY,AttachmentRotationZ,InteractOverride_X,InteractOverride_Y,MarkerOffset_Z
0336_Ranger,0336_Ranger,@0336_Ranger,Objects\Characters\npc\Settlements\0336_ranger.cdf,Libs\Timeline\Npc\WeaponIdleAnims\Axe_2Hand_GreetBye.timeline,Libs\Timeline\Npc\WeaponIdleAnims\Axe_2Hand_GreetBye.timeline,Libs\Timeline\Npc\WeaponIdleAnims\Axe_2Hand_Ambient.timeline,Libs\Timeline\Npc\WeaponIdleAnims\Axe_2Hand_Interact.timeline,,,,,,,,,,,,
0337_Ranger,0337_Ranger,@0337_Ranger,Objects\Characters\npc\Settlements\0337_ranger.cdf,Libs\Timeline\Npc\settle_ranger_exit_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,,,,,,,,,,,,
0428_Jones,0428_Jones,@0428_Jones,Objects\Characters\npc\Settlements\0428_jones.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,
7506_Spawn,7506_Spawn,@7506_Spawn,Objects\Characters\npc\Settlements\9921_msq_warden_Walker.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,
7507_Swap,7507_Swap,@7507_Swap,Objects\Characters\npc\Settlements\9914_msq_Hunter.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,DevWorld_Spawn_TopicUnlock,Objects\Crafting\Props\FoodStuffs\Mushrooms\glowing_mushrooms_a.cgf,Objects\Crafting\Props\Tools\Hammers\Mallet\JAV_PRP_Mallet.cgf,-4.2695,-3.0969,1.1753,288.3241,1.7843,294.3229,,,
0831_TangZhi_Start,0831_TangZhi_Start,@0831_TangZhi,Objects\Characters\npc\Settlements\0831_tangzhi.cdf,Libs\Timeline\Npc\settle_adjudicator_exit_01.timeline,Libs\Timeline\Npc\settle_adjudicator_intro_01.timeline,Libs\Timeline\Npc\settle_adjudicator_ambient_01.timeline,Libs\Timeline\Npc\settle_adjudicator_interact_01.timeline,SwapActive_LastArgument_FinalNPCs_On,Objects\Crafting\Props\Storage\Barrels\jav_prp_ShopBarrel_Closed_a.cgf,,,,,,,,,,
0831_TangZhi_Final,0831_TangZhi_Final,@0831_TangZhi,Objects\Characters\npc\Settlements\0831_tangzhi.cdf,Libs\Timeline\Npc\settle_adjudicator_exit_01.timeline,Libs\Timeline\Npc\settle_adjudicator_intro_01.timeline,Libs\Timeline\Npc\settle_adjudicator_ambient_01.timeline,Libs\Timeline\Npc\settle_adjudicator_interact_01.timeline,SwapActive_LastArgument_FinalNPCs_On,Objects\Crafting\Props\Storage\Barrels\jav_prp_ShopBarrel_Closed_a.cgf,,,,,,,,,,
0832_Alvaro_Start,0832_Alvaro_Start,@0832_Alvaro,Objects\Characters\npc\Settlements\0832_alvaro.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,SwapActive_LastArgument_FinalNPCs_On,Objects\Crafting\Props\Storage\Barrels\jav_prp_ShopBarrel_Closed_a.cgf,,,,,,,,,,
0832_Alvaro_Final,0832_Alvaro_Final,@0832_Alvaro,Objects\Characters\npc\Settlements\0832_alvaro.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,SwapActive_LastArgument_FinalNPCs_On,Objects\Crafting\Props\Storage\Barrels\jav_prp_ShopBarrel_Closed_a.cgf,,,,,,,,,,
1124_PierreAuguste,1124_PierreAuguste,@1124_PierreAuguste,Objects\Characters\npc\Settlements\1124_pierreauguste.cdf,Libs\Timeline\Npc\settle_adjudicator_exit_01.timeline,Libs\Timeline\Npc\settle_adjudicator_intro_01.timeline,Libs\Timeline\Npc\settle_adjudicator_ambient_01.timeline,Libs\Timeline\Npc\settle_adjudicator_interact_01.timeline,SwapActive_1124_Pierre_Town_off,,,,,,,,,,,
1124_PierreAuguste_2,1124_PierreAuguste2,@1124_PierreAuguste,Objects\Characters\npc\Settlements\1124_pierreauguste2.cdf,Libs\Timeline\Npc\settle_ranger_exit_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,SwapActive_1124_Pierre_Town_off,,,,,,,,,,,
1124_Pierre_Note,1124_Pierre_Note,,,,,,,SwapActive_1124_Pierre_Town_off,,,,,,,,,,,
1127_Harunobu,1127_Harunobu,@1127_harunobu,Objects\Characters\npc\Settlements\1127_harunobu.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,SwapActive_1127_Harunobu_Off,,,,,,,,,,,
1127_Harunobu2,1127_Harunobu2,@1127_Harunobu2,Objects\Characters\npc\Settlements\1127_harunobu.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,SwapActive_1127_Harunobu_Off,,,,,,,,,,,
1128_Lerato,1128_Lerato,@1128_Lerato,Objects\Characters\npc\Settlements\1128_lerato.cdf,Libs\Timeline\Npc\settle_ranger_exit_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,SwapActive_1128_Lerato_Off,,,,,,,,,,,
1128_Lerato2,1128_Lerato2,@1128_Lerato2,Objects\Characters\npc\Settlements\1128_lerato.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,SwapActive_1128_Lerato_Off,,,,,,,,,,,
1129_Jaansen,1129_Jaansen,@1129_Jaansen,Objects\Characters\npc\Settlements\1129_jaansen.cdf,Libs\Timeline\Npc\settle_alchemist_exit_01.timeline,Libs\Timeline\Npc\settle_alchemist_intro_01.timeline,Libs\Timeline\Npc\settle_alchemist_ambient_01.timeline,Libs\Timeline\Npc\settle_alchemist_interact_01.timeline,SwapActive_1129_Jaansen_1_Off,,,,,,,,,,,
1129_Jaansen2,1129_Jaansen2,@1129_Jaansen,Objects\Characters\npc\Settlements\1129_jaansen.cdf,Libs\Timeline\Npc\settle_alchemist_exit_01.timeline,Libs\Timeline\Npc\settle_alchemist_intro_01.timeline,Libs\Timeline\Npc\settle_alchemist_ambient_01.timeline,Libs\Timeline\Npc\settle_alchemist_interact_01.timeline,SwapActive_1129_Jaansen_2_On_Off,,,,,,,,,,,
1129_Jaansen_note,1129_Jaansen_note,@1129_Jaansen_note,,,,,,11_Jaansen_1,,,,,,,,,,,
9926_AbigailRoseA,9926_VK_AbigailRoseA,@9926_VK_AbigailRose,Objects\Characters\npc\Settlements\9926_AbigailRose.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_9926_AbigailRoseA_Off,,,,,,,,,,,
9926_AbigailRoseB,9926_VK_AbigailRoseB,@9926_VK_AbigailRose,Objects\Characters\npc\Settlements\9926_AbigailRose.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_9926_AbigailRoseB_On,,,,,,,,,,,
9926_AbigailRoseEp2,9926_VK_AbigailRoseEp2,@9926_VK_AbigailRose,Objects\Characters\npc\Settlements\9926_AbigailRoseEp2.cdf,Libs\Timeline\Npc\settle_ranger_exit_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,SwapActive_9926_AbigailRoseEp2_On,,,,,,,,,,,
9930_RomacBarboA,9930_VK_RomacBarboA,@9930_VK_RomacBarbo,Objects\Characters\npc\Settlements\9930_RomacBarbo.cdf,Libs\Timeline\Npc\settle_sit_ambient_feethanging_exit_01.timeline,Libs\Timeline\Npc\settle_sit_ambient_feethanging_greet_01.timeline,Libs\Timeline\Npc\settle_sit_ambient_feethanging_idleloop_01.timeline,Libs\Timeline\Npc\settle_sit_ambient_feethanging_interactloop_01.timeline,SwapActive_9930_RomacCage_On,,,,,,,,,,,
9930_RomacBarboB,9930_VK_RomacBarboB,@9930_VK_RomacBarbo,Objects\Characters\npc\Settlements\9930_RomacBarbo.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_9930_RomacRoad_On,,,,,,,,,,,
1225_Giacomo_MB,1225_Giacomo_MB,@1225_Giacomo,Objects\Characters\npc\Settlements\1225_Giacomo.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1225_GiacomoStart_Off,,,,,,,,,,,
1225_Giacomo_EF,1225_Giacomo_EF,@1225_Giacomo,Objects\Characters\npc\Settlements\1225_Giacomo.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1225_GiacomoStart_Off,,,,,,,,,,,
1225_Giacomo_WW,1225_Giacomo_WW,@1225_Giacomo,Objects\Characters\npc\Settlements\1225_Giacomo.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1225_GiacomoStart_Off,,,,,,,,,,,
1225_Giacomo_FL,1225_Giacomo_FL,@1225_Giacomo,Objects\Characters\npc\Settlements\1225_Giacomo.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1225_GiacomoStart_Off,,,,,,,,,,,
1225_GiacomoChason,1225_GiacomoChason,@1225_Giacomo,Objects\Characters\npc\Settlements\1225_Giacomo.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1225_GiacomoChason_On,,,,,,,,,,,
1225_GiacomoTravelersA,1225_GiacomoTravelersA,@1225_Giacomo,Objects\Characters\npc\Settlements\1225_Giacomo.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1225_GiacomoTravelersA_On,,,,,,,,,,,
1225_GiacomoTravelersB,1225_GiacomoTravelersB,@1225_Giacomo,Objects\Characters\npc\Settlements\1225_Giacomo.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1225_GiacomoTravelersB_On,,,,,,,,,,,
1601_Gideon,1601_Gideon,@1601_Gideon,Objects\Characters\npc\Settlements\1601_gideon.cdf,Libs\Timeline\Npc\settle_magistrate_exit_01.timeline,Libs\Timeline\Npc\settle_magistrate_intro_01.timeline,Libs\Timeline\Npc\settle_magistrate_ambient_01.timeline,Libs\Timeline\Npc\settle_magistrate_interact_01.timeline,SwapActive_1601_Gideon_TownHall_On,,,,,,,,,,,
1601_Gideon_Coronation,1601_Gideon_Coronation,@1601_Gideon,Objects\Characters\npc\Settlements\1601_gideon.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1601_Gideon_Pavilion_On,,,,,,,,,,,
1602_EvandrusDesert,1602_Crassus_Desert,@1602_Crassus,Objects\Characters\npc\Settlements\1602_Crassus.cdf,Libs\Timeline\Npc\settle_adjudicator_exit_01.timeline,Libs\Timeline\Npc\settle_adjudicator_intro_01.timeline,Libs\Timeline\Npc\settle_adjudicator_ambient_01.timeline,Libs\Timeline\Npc\settle_adjudicator_interact_01.timeline,SwapActive_1602_EvandrusDesert_On,,,,,,,,,,,
1602_EvandrusScout,1602_Crassus_Scout,@1602_Crassus,Objects\Characters\npc\Settlements\1602_Crassus.cdf,Libs\Timeline\Npc\settle_ranger_outro_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,SwapActive_1602_EvandrusScout_On,,,,,,,,,,,
1602_EvandrusSettlement,1602_Crassus_Settlement,@1602_Crassus,Objects\Characters\npc\Settlements\1602_Crassus.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,SwapActive_1602_EvandrusSettlement_On,,,,,,,,,,,
1602_Evandrus_Pavilion,1602_Crassus_Pavilion,@1602_Crassus,Objects\Characters\npc\Settlements\1602_Crassus.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,SwapActive_1602_Evandrus_Pavilion_On,,,,,,,,,,,
1603_Barnabas,1603_Barnabas,@1603_Barnabas,Objects\Characters\npc\Settlements\1603_barnabas.cdf,Libs\Timeline\Npc\settle_commander_convo_headnod_greet_bye.timeline,Libs\Timeline\Npc\settle_commander_convo_shouldershrug_greet_bye.timeline,Libs\Timeline\Npc\settle_commander_convo_lookaround_ambient.timeline,Libs\Timeline\Npc\settle_commander_interact_01.timeline,SwapActive_1603_Barnabas_TownHall_On,,,,,,,,,,,
1603_Barnabas_Coronation,1603_Barnabas_Coronation,@1603_Barnabas,Objects\Characters\npc\Settlements\1603_barnabas.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1603_Barnabas_Pavilion_On,,,,,,,,,,,
1604_CharmionSettlement,1604_Charmion,@1604_Charmion,Objects\Characters\npc\Settlements\1604_Charmion.cdf,Libs\Timeline\Npc\Druidess_ambient_bye.timeline,Libs\Timeline\Npc\Druidess_ambient_greet.timeline,Libs\Timeline\Npc\Druidess_ambient_idle.timeline,Libs\Timeline\Npc\Druidess_ambient_talk.timeline,SwapActive_1604_CharmionSettlement_Off,,,,,,,,,,,
1605_AkilaMenefir,1605_Akila_Menefir,@1605_Akila,Objects\Characters\npc\Settlements\1605_Akila.cdf,Libs\Timeline\Npc\settle_adjudicator_exit_01.timeline,Libs\Timeline\Npc\settle_adjudicator_intro_01.timeline,Libs\Timeline\Npc\settle_adjudicator_ambient_01.timeline,Libs\Timeline\Npc\settle_adjudicator_interact_01.timeline,SwapActive_1605_AkilaMenefir_Off,,,,,,,,,,,
1605_AkilaMarcella,1605_Akila_Marcella,@1605_Akila,Objects\Characters\npc\Settlements\1605_Akila.cdf,Libs\Timeline\Npc\settle_adjudicator_exit_01.timeline,Libs\Timeline\Npc\settle_adjudicator_intro_01.timeline,Libs\Timeline\Npc\settle_adjudicator_ambient_01.timeline,Libs\Timeline\Npc\settle_adjudicator_interact_01.timeline,SwapActive_1605_AkilaMarcella_On,,,,,,,,,,,
1605_AkilaEnnead,1605_Akila_Ennead,@1605_Akila,Objects\Characters\npc\Settlements\1605_Akila.cdf,Libs\Timeline\Npc\settle_adjudicator_exit_01.timeline,Libs\Timeline\Npc\settle_adjudicator_intro_01.timeline,Libs\Timeline\Npc\settle_adjudicator_ambient_01.timeline,Libs\Timeline\Npc\settle_adjudicator_interact_01.timeline,SwapActive_1605_AkilaEnnead_On,,,,,,,,,,,
1605_AkilaCoronation,1605_Akila_Coronation,@1605_Akila,Objects\Characters\npc\Settlements\1605_Akila.cdf,Libs\Timeline\Npc\settle_adjudicator_exit_01.timeline,Libs\Timeline\Npc\settle_adjudicator_intro_01.timeline,Libs\Timeline\Npc\settle_adjudicator_ambient_01.timeline,Libs\Timeline\Npc\settle_adjudicator_interact_01.timeline,SwapActive_1605_AkilaCoronation_On,,,,,,,,,,,
1605_AkilaCorsica,1605_Akila_Corsica,@1605_Akila,Objects\Characters\npc\Settlements\1605_Akila.cdf,Libs\Timeline\Npc\settle_adjudicator_exit_01.timeline,Libs\Timeline\Npc\settle_adjudicator_intro_01.timeline,Libs\Timeline\Npc\settle_adjudicator_ambient_01.timeline,Libs\Timeline\Npc\settle_adjudicator_interact_01.timeline,SwapActive_1605_AkilaCorsica_On,,,,,,,,,,,
1606_Ambrosius,1606_Ambrosius,@1606_Ambrosius,Objects\Characters\npc\Settlements\1606_Ambrosius.cdf,Libs\Timeline\Npc\settle_trader_exit_01.timeline,Libs\Timeline\Npc\settle_trader_intro_01.timeline,Libs\Timeline\Npc\settle_trader_ambient_01.timeline,Libs\Timeline\Npc\settle_trader_interact_01.timeline,SwapActive_1606_AmbrosiusRoad_Off,,,,,,,,,,,
1606_Ambrosius_p2,1606_Ambrosius_p2,@1606_Ambrosius,Objects\Characters\npc\Settlements\1606_Ambrosius.cdf,Libs\Timeline\Npc\settle_trader_exit_01.timeline,Libs\Timeline\Npc\settle_trader_intro_01.timeline,Libs\Timeline\Npc\settle_trader_ambient_01.timeline,Libs\Timeline\Npc\settle_trader_interact_01.timeline,SwapActive_1606_AmbrosiusCamp_On,,,,,,,,,,,
1612_Andrea,1612_Andrea,@1612_Andrea,Objects\Characters\npc\Settlements\1612_Andrea.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,
1624_Imhotep_v1p1,1624_Imhotep_v1p1,@1624_Imhotep,Objects\Characters\npc\Supernatural\imhotepnomad\imhotepnomad.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1624_Imhotep_v1p1_On,,,,,,,,,,,
1624_Imhotep_v1p2,1624_Imhotep_v1p2,@1624_Imhotep,Objects\Characters\npc\Supernatural\imhotepnomad\imhotepnomad.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\settle_magistrate_ambient_01.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1624_Imhotep_v1p2_On,,,,,,,,,,,
1624_Imhotep_v1p3,1624_Imhotep_v1p3,@1624_Imhotep,Objects\Characters\npc\Supernatural\imhotepnomad\imhotepnomad.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\settle_magistrate_ambient_01.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1624_Imhotep_v1p3_On,,,,,,,,,,,
1624_Imhotep_v1p4,1624_Imhotep_v1p4,@1624_Imhotep,Objects\Characters\npc\Supernatural\imhotepnomad\imhotepnomad.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\settle_magistrate_ambient_01.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,SwapActive_1624_Imhotep_v1p4_On,,,,,,,,,,,
