VariantID,StartMesh,Mass,StartMeshLOD,Play_Falling_SFX,Stop_Falling_SFX,Play_Sliding_SFX,X_Sliding_SFX,Y_Sliding_SFX,Z_Sliding_SFX,CutMaterial
AspenTree_c_super02_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_c.cgf,1000,60,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,10,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_Super02_mat_Cut.mtl
AspenTree_d_super02_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_d.cgf,1000,90,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,6,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_Super02_mat_Cut.mtl
AspenTree_e_super02_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_e.cgf,500,90,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,4,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_Super02_mat_Cut.mtl
BeechTree_a_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_a.cgf,2000,50,Play_Gather_TreeFall_Big,Stop_Gather_TreeFall_Big,Play_Slide_Tree_Hvy,0,0,7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat_Cut.mtl
BeechTree_a_fall01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_a.cgf,2000,50,Play_Gather_TreeFall_Big,Stop_Gather_TreeFall_Big,Play_Slide_Tree_Hvy,0,0,7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall01_mat_Cut.mtl
BeechTree_a_fall02_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_a.cgf,2000,50,Play_Gather_TreeFall_Big,Stop_Gather_TreeFall_Big,Play_Slide_Tree_Hvy,0,0,7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall02_mat_Cut.mtl
BeechTree_a_spri01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_a.cgf,2000,50,Play_Gather_TreeFall_Big,Stop_Gather_TreeFall_Big,Play_Slide_Tree_Hvy,0,0,7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Spri01_mat_Cut.mtl
BeechTree_a_wint01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_a.cgf,2000,50,Play_Gather_TreeFall_Big,Stop_Gather_TreeFall_Big,Play_Slide_Tree_Hvy,0,0,7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Wint01_mat_Cut.mtl
BeechTree_b_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_b.cgf,1000,60,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,6,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat_Cut.mtl
BeechTree_b_fall01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_b.cgf,1000,60,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,6,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall01_mat_Cut.mtl
BeechTree_b_fall02_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_b.cgf,1000,60,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,6,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall02_mat_Cut.mtl
BeechTree_b_spri01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_b.cgf,1000,60,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,6,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Spri01_mat_Cut.mtl
BeechTree_b_wint01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_b.cgf,1000,60,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,6,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Wint01_mat_Cut.mtl
BeechTree_ba_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_ba.cgf,1000,55,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,-1,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat_Cut.mtl
BeechTree_ba_fall01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_ba.cgf,1000,55,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,-1,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall01_mat_Cut.mtl
BeechTree_ba_fall02_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_ba.cgf,1000,55,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,-1,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall02_mat_Cut.mtl
BeechTree_ba_spri01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_ba.cgf,1000,55,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,-1,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Spri01_mat_Cut.mtl
BeechTree_ba_wint01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_ba.cgf,1000,55,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,-1,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Wint01_mat_Cut.mtl
BeechTree_ca_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_ca.cgf,1000,55,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,1,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat_Cut.mtl
BeechTree_ca_fall01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_ca.cgf,1000,55,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,1,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall01_mat_Cut.mtl
BeechTree_ca_fall02_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_ca.cgf,1000,55,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,1,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall02_mat_Cut.mtl
BeechTree_ca_spri01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_ca.cgf,1000,55,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,1,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Spri01_mat_Cut.mtl
BeechTree_ca_wint01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_ca.cgf,1000,55,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,1,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Wint01_mat_Cut.mtl
BeechTree_cb_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cb.cgf,1000,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.5,0,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat_Cut.mtl
BeechTree_cb_fall01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cb.cgf,1000,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.5,0,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall01_mat_Cut.mtl
BeechTree_cb_fall02_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cb.cgf,1000,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.5,0,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall02_mat_Cut.mtl
BeechTree_cb_spri01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cb.cgf,1000,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.5,0,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Spri01_mat_Cut.mtl
BeechTree_cb_wint01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cb.cgf,1000,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.5,0,4,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Wint01_mat_Cut.mtl
BeechTree_cc_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cc.cgf,1000,45,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.5,-1,2.5,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat_Cut.mtl
BeechTree_cc_fall01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cc.cgf,1000,45,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.5,-1,2.5,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall01_mat_Cut.mtl
BeechTree_cc_fall02_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cc.cgf,1000,45,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.5,-1,2.5,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall02_mat_Cut.mtl
BeechTree_cc_spri01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cc.cgf,1000,45,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.5,-1,2.5,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Spri01_mat_Cut.mtl
BeechTree_cc_wint01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cc.cgf,1000,45,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.5,-1,2.5,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Wint01_mat_Cut.mtl
BeechTree_cd_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cd.cgf,1000,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,-1,-0.5,3,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat_Cut.mtl
BeechTree_cd_fall01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cd.cgf,1000,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,-1,-0.5,3,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall01_mat_Cut.mtl
BeechTree_cd_fall02_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cd.cgf,2000,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,-1,-0.5,3,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall02_mat_Cut.mtl
BeechTree_cd_spri01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cd.cgf,1000,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,-1,-0.5,3,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Spri01_mat_Cut.mtl
BeechTree_cd_wint01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_cd.cgf,1000,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,-1,-0.5,3,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Wint01_mat_Cut.mtl
BeechTree_d_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_d.cgf,500,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,3,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat_Cut.mtl
BeechTree_d_fall01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_d.cgf,500,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,3,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall01_mat_Cut.mtl
BeechTree_d_fall02_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_d.cgf,500,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,3,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall02_mat_Cut.mtl
BeechTree_d_spri01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_d.cgf,500,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,3,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Spri01_mat_Cut.mtl
BeechTree_d_wint01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_d.cgf,500,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,3,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Wint01_mat_Cut.mtl
BeechTree_e_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_e.cgf,100,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,1.5,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat_Cut.mtl
BeechTree_e_fall01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_e.cgf,100,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,1.5,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall01_mat_Cut.mtl
BeechTree_e_fall02_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_e.cgf,100,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,1.5,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Fall02_mat_Cut.mtl
BeechTree_e_spri01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_e.cgf,100,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,1.5,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Spri01_mat_Cut.mtl
BeechTree_e_wint01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_cuttrunk_e.cgf,100,50,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,1.5,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_Wint01_mat_Cut.mtl
DamnedTree_a_cuttrunk,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_cuttrunk_a.cgf,1000,180,Play_Gather_TreeFall_Big,Stop_Gather_TreeFall_Big,Play_Slide_Tree_Hvy,0,0,6,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat_Cut.mtl
DamnedTree_b_cuttrunk,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_cuttrunk_b.cgf,1000,180,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,-1,-1.3,6,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat_Cut.mtl
DamnedTree_ba_cuttrunk,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_cuttrunk_ba.cgf,1000,180,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,-1.6,0.5,6,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat_Cut.mtl
DamnedTree_bb_cuttrunk,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_cuttrunk_bb.cgf,1000,180,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,-1.6,3,6.5,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat_Cut.mtl
DamnedTree_c_cuttrunk,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_cuttrunk_c.cgf,1000,180,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.3,0.5,6,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat_Cut.mtl
DamnedTree_ca_cuttrunk,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_cuttrunk_ca.cgf,1000,180,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.65,-1.15,5.5,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat_Cut.mtl
DamnedTree_cb_cuttrunk,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_cuttrunk_cb.cgf,1000,180,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,-2,-0.5,5.5,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat_Cut.mtl
DamnedTree_d_cuttrunk,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_cuttrunk_d.cgf,1000,100,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.2,-0.5,4,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat_Cut.mtl
DamnedTree_Dead_A_cuttrunk,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_dead_cuttrunk_a.cgf,500,80,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0.1,0.1,2.6,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat_Cut.mtl
DamnedTree_Dead_B_cuttrunk,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_dead_cuttrunk_b.cgf,500,80,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,2,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat_Cut.mtl
LiveOakTree_a_cuttrunk,Objects\Nature\Veg_Trees\Trees_Coast\LiveOak\jav_cst_liveoak_cuttrunk_a.cgf,1000,180,Play_Gather_TreeFall_Big,Stop_Gather_TreeFall_Big,Play_Slide_Tree_Hvy,0,0,8,Objects\Nature\Veg_Trees\Trees_Coast\LiveOak\LiveOak_cut_mat.mtl
LiveOakTree_b_cuttrunk,Objects\Nature\Veg_Trees\Trees_Coast\LiveOak\jav_cst_liveoak_cuttrunk_b.cgf,1000,180,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,8,Objects\Nature\Veg_Trees\Trees_Coast\LiveOak\LiveOak_cut_mat.mtl
LiveOakTree_c_cuttrunk,Objects\Nature\Veg_Trees\Trees_Coast\LiveOak\jav_cst_liveoak_cuttrunk_c.cgf,1000,180,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,6,Objects\Nature\Veg_Trees\Trees_Coast\LiveOak\LiveOak_cut_mat.mtl
LiveOakTree_d_cuttrunk,Objects\Nature\Veg_Trees\Trees_Coast\LiveOak\jav_cst_liveoak_cuttrunk_d.cgf,1000,100,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0.5,-1,5,Objects\Nature\Veg_Trees\Trees_Coast\LiveOak\LiveOak_cut_mat.mtl
LiveOakTree_e_cuttrunk,Objects\Nature\Veg_Trees\Trees_Coast\LiveOak\jav_cst_liveoak_cuttrunk_e.cgf,500,80,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,-0.5,0,5,Objects\Nature\Veg_Trees\Trees_Coast\LiveOak\LiveOak_cut_mat.mtl
