TaskID,Type,FailOnCondition,ResetOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,ShouldCheckPoints,LootTag,PauseAndClearLootOnTaskComplete,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,OverrideLocation,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
M_task_aquire_X_items_kill_X_enemies_POITag_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_POITag,,,,,,,,M_task_kill_acquire_X_items_at_mission_location,M_ReturnToGiver,,,
M_task_aquire_X_items_kill_X_enemies_POITag_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_POITag,,,,,,,,,,,,
M_task_aquire_X_items_kill_X_enemies_territory_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID,,,,,,,,M_task_kill_acquire_X_items_at_mission_location,M_ReturnToGiver,,,
M_task_aquire_X_items_kill_X_enemies_territory_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID,,,,,,,,,,,,
M_task_aquire_X_items_kill_X_enemies_POITag_territory_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID_POITag,,,,,,,,M_task_kill_acquire_X_items_at_mission_location,M_ReturnToGiver,,,
M_task_aquire_X_items_kill_X_enemies_POITag_territory_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID_POITag,,,,,,,,,,,,
M_task_goto_territoryID_POITag,TaskGoToPOITagOnTerritory,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_goto_territoryID_POITag,,,,,,,,,,,,
M_task_goto_POITag,TaskGoToPOITag,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_goto_POITag,,,,,,,,,,,,
M_task_goto_territoryID,TaskGoToTerritory,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_goto_territoryID,,,,,,,,,,,,
M_task_kill_X_enemies_at_mission_location,TaskKillContribution,,,,1,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_poi,,,,,,,,,,,,
M_task_kill_acquire_X_items_at_mission_location,TaskHaveAndReturnItems,,,1,1,,,,,true,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_task_kill_X_enemies_have_X_items_poi,,,,,,,,,,,,
M_task_kill_acquire_X_items,TaskHaveAndReturnItems,,,1,1,,,,,true,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_task_kill_X_enemies_have_X_items_poi,,,,,,,,,,,,
M_task_acquire_X_items_at_mission_location,TaskHaveAndReturnItems,,,1,1,,,,,true,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_task_search_containers,,,,,,,,,,,,
M_ReturnToGiver,TaskInteract,,,,1,,,,,,,,,,,,,,,,ReturnToGiver,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_desc_return_to_giver,,,,,,,,,,,,
M_killx_killtoken_location_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items,,,,,,,,M_task_kill_acquire_X_items_at_mission_location,M_ReturnToGiver,,,
M_fetch_killx_killtoken_location_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items,,,,,,,,M_fetch_killx_killtoken_location_container_first,M_ReturnToGiver,,,
M_fetch_killx_killtoken_location_container_first,SimpleTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items,,,,,,,,M_task_acquire_X_items_at_mission_location,M_task_kill_X_enemies_at_mission_location,M_task_kill_acquire_X_items_at_mission_location,,
M_ReturnToAnyGiver,TaskInteract,,,,1,,,,,,,,,,,,,,,,ReturnToGiver,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_desc_return_to_any_giver,,,,,,,,,,,,
CM_task_acquire_X_items_POITag_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_story_task_search_containers,,,,,,,,M_task_acquire_X_items_at_mission_location,CM_ReturnToGiver,,,
CM_task_acquire_X_items_POITag_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_story_task_search_containers,,,,,,,,,,,,
CM_task_acquire_X_items_POITag_territory_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_have_X_items_goto_territoryID_POITag,,,,,,,,M_task_goto_territoryID_POITag,M_task_acquire_X_items_at_mission_location,CM_ReturnToGiver,,
CM_task_acquire_X_items_POITag_territory_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_have_X_items_goto_territoryID_POITag,,,,,,,,,,,,
CM_task_acquire_X_items_territory_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_have_X_items_goto_territoryID,,,,,,,,M_task_goto_territoryID,M_task_acquire_X_items_at_mission_location,CM_ReturnToGiver,,
CM_task_acquire_X_items_territory_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_have_X_items_goto_territoryID,,,,,,,,,,,,
CM_task_aquire_X_items_kill_X_enemies_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items,,,,,,,,M_task_kill_X_enemies,M_task_kill_acquire_X_items_at_mission_location,CM_ReturnToGiver,,
CM_task_aquire_X_items_kill_X_enemies_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items,,,,,,,,,,,,
CM_task_aquire_X_items_kill_X_enemies_POITag_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_POITag,,,,,,,,M_task_goto_POITag,M_task_kill_X_enemies_at_mission_location,M_task_kill_acquire_X_items_at_mission_location,CM_ReturnToGiver,
CM_task_aquire_X_items_kill_X_enemies_POITag_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_POITag,,,,,,,,,,,,
CM_task_aquire_X_items_kill_X_enemies_territory_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID,,,,,,,,M_task_goto_territoryID,M_task_kill_X_enemies_at_mission_location,M_task_kill_acquire_X_items_at_mission_location,CM_ReturnToGiver,
CM_task_aquire_X_items_kill_X_enemies_territory_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID,,,,,,,,,,,,
CM_task_aquire_X_items_kill_X_enemies_POITag_territory_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID_POITag,,,,,,,,M_task_goto_territoryID_POITag,M_task_kill_X_enemies_at_mission_location,M_task_kill_acquire_X_items_at_mission_location,CM_ReturnToGiver,
CM_task_aquire_X_items_kill_X_enemies_POITag_territory_container_first,SimpleTaskContainer,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID_POITag,,,,,,,,,,,,
CM_task_goto_territoryID_POITag,TaskGoToPOITagOnTerritory,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_goto_territoryID_POITag,,,,,,,,,,,,
CM_task_goto_POITag,TaskGoToPOITag,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_goto_POITag,,,,,,,,,,,,
CM_task_goto_territoryID,TaskGoToTerritory,,,1,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_goto_territoryID,,,,,,,,,,,,
CM_task_kill_X_enemies_at_mission_location,TaskKillContribution,,,,1,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_poi,,,,,,,,,,,,
CM_task_kill_acquire_X_items_at_mission_location,TaskHaveAndReturnItems,,,1,1,,,,,true,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_task_kill_X_enemies_have_X_items_poi,,,,,,,,,,,,
CM_task_acquire_X_items_at_mission_location,TaskHaveAndReturnItems,,,1,1,,,,,true,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@objective_mission_task_search_containers,,,,,,,,,,,,
CM_ReturnToGiver,TaskInteract,,,,1,,,,,true,,,,,,,,,,,ReturnToGiver,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_desc_return_to_giver_cm,,,,,,,,,,,,
CM_task_kill_X_enemies_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M_task_kill_X_enemies,CM_ReturnToGiver,,,
CM_task_transport_item_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M_task_give_transport_item,M_task_have_transport_item,M_task_courier_timer_Xs,CM_ReturnToGiver,
CM_task_acquire_X_items_container,ConsecutiveTaskContainer,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M_task_have_X_items,CM_ReturnToGiver,,,
CM_task_craft_workorder_items_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M_task_give_workorder_item,M_task_have_crafted_workorder_item,CM_ReturnToGiver,,
PVP_task_acquire_X_items_POITag_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_story_task_search_containers,,,,,,,,PVP_task_acquire_X_items_POITag_container_first,M_ReturnToGiver,,,
PVP_task_acquire_X_items_POITag_container_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,,,,,,M_task_acquire_X_items_at_mission_location,M_task_die,,,
PVP_task_acquire_X_items_POITag_territory_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_have_X_items_goto_territoryID_POITag,,,,,,,,PVP_task_acquire_X_items_POITag_territory_container_first,M_ReturnToGiver,,,
PVP_task_acquire_X_items_POITag_territory_container_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,,,,,,M_task_goto_territoryID_POITag,M_task_acquire_X_items_at_mission_location,M_task_die,,
PVP_task_acquire_X_items_territory_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_have_X_items_goto_territoryID,,,,,,,,PVP_task_acquire_X_items_territory_container_first,M_ReturnToGiver,,,
PVP_task_acquire_X_items_territory_container_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,,,,,,M_task_goto_territoryID,M_task_acquire_X_items_at_mission_location,M_task_die,,
PVP_task_aquire_X_items_kill_X_enemies_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items,,,,,,,,PVP_task_aquire_X_items_kill_X_enemies_container_first,M_ReturnToGiver,,,
PVP_task_aquire_X_items_kill_X_enemies_container_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,,,,,,M_task_kill_acquire_X_items_at_mission_location,M_task_die,,,
PVP_task_aquire_X_items_kill_X_enemies_POITag_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_POITag,,,,,,,,PVP_task_aquire_X_items_kill_X_enemies_POITag_container_first,M_ReturnToGiver,,,
PVP_task_aquire_X_items_kill_X_enemies_POITag_container_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,,,,,,M_task_kill_acquire_X_items_at_mission_location,M_task_die,,,
PVP_task_aquire_X_items_kill_X_enemies_territory_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID,,,,,,,,PVP_task_aquire_X_items_kill_X_enemies_territory_container_first,M_ReturnToGiver,,,
PVP_task_aquire_X_items_kill_X_enemies_territory_container_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,,,,,,M_task_kill_acquire_X_items_at_mission_location,M_task_die,,,
PVP_task_aquire_X_items_kill_X_enemies_POITag_territory_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_kill_X_enemies_have_X_items_goto_territoryID_POITag,,,,,,,,PVP_task_aquire_X_items_kill_X_enemies_POITag_territory_container_first,M_ReturnToGiver,,,
PVP_task_aquire_X_items_kill_X_enemies_POITag_territory_container_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M_task_kill_acquire_X_items_at_mission_location,M_task_die,,,
PVP_task_kill_X_enemies_container_location,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVP_task_kill_X_enemies_container_location_first,M_ReturnToGiver,,,
PVP_task_kill_X_enemies_container_location_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,,,,,,M_task_kill_X_enemies_at_mission_location,M_task_die,,,
PVP_task_kill_X_enemies_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVP_task_kill_X_enemies_container_first,M_ReturnToGiver,,,
PVP_task_kill_X_enemies_container_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,,,,,,M_task_kill_X_enemies,M_task_die,,,
PVP_task_transport_item_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVP_task_transport_item_container_first,M_ReturnToGiver,,,
PVP_task_transport_item_container_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,,,,,,M_task_give_transport_item,M_task_have_transport_item,M_task_die,,
PVP_task_acquire_X_items_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVP_task_acquire_X_items_container_first,M_ReturnToGiver,,,
PVP_task_acquire_X_items_container_first,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M_task_have_X_items,M_task_die,,,
PVP_task_patrol_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_patrol_windsward,,,,,,,,PVP_task_patrol_container_first,M_ReturnToGiver,,,
PVP_task_patrol_container_first,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,,,,,,PVP_task_patrol,M_task_die,,,
PVP_task_patrol,PatrolTask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_mission_task_patrol_timer,,,,,,,,,,,,
FM_PVP_liveordie_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_task_pvp,,,,,,,,M_task_die,M_ReturnToGiver,,,
task_getoffbeach_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_story_task_getoffthebeach,,,,,,,,task_goto_watchtower,,,,
task_getoffbeach_openmap,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,Map,,,,,,,,,,,,,,,,,,,,,,@task_getoffbeach_openmap,,,,,,,,,,,,
task_goto_watchtower,TaskGoToPOITag,,,1,,,,,,,,watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_onboarding_goToOutpost_task01_desc,,,,,,,,,,,,
task_campandtools_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_boarproblem_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_healingdrops_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_culldowned_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_preciouscargo_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
task_introtosettlement_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_give_transport_npc_note,task_have_npc_note,,,
