TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,TP_StayComplete,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
1102_0401_d_02_container_Tasks_Grus,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1102_0401_d_02a_TaskGoTo,1102_0401_d_02b_Container_march_grustasks,,,
1102_0401_d_02a_TaskGoTo,TaskGoToPOITag,,1,1,,,,,1,,ancient_lookout_highcliff,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1102_0401_d_02a_Task,,,,,,,,,,,,,,
1102_0401_d_02b_Container_march_grustasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1102_0401_d_02b_01_Task,1102_0401_d_02b_02_Task,,,
1102_0401_d_02b_01_Task,TaskHaveAndReturnItems,,1,4,1102_0401_CorruptedCompass,,,100,1,,ancient_lookout_highcliff,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1102_0401_d_02b_Task,,,,,,,,,,,,,,
1102_0401_d_02b_02_Task,TaskKillContribution,,1,10,,,,,1,,ancient_lookout_highcliff,,1,,,,,,,,,,Wardog,,,,,,,,,,,,,,,,,,,,@1102_0401_d_02c_Task,,,,,,,,,,,,,,
1104_01a01_d_00_Container_crashing,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104_01a02_d_01_transport_npc_note,1104_01a02_d_02_have_npc_note,,,
1104_01a02_d_01_transport_npc_note,TaskGiveAndTakeItem,,,1,MI_SummonsNote,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1104_01a02_d_Task,,,1,1,,,,,,,,,,
1104_01a02_d_02_have_npc_note,TaskHaveAndReturnItems,,1,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@1104_01a02_d_Task,,,,1,,,,,,,,,,
1104_0201_d_00_Container_waterfalls,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104_0201_d_01_Task,1104_0201_d_02_Task,,,
1104_0201_d_01_Task,TaskGoToPOITag,,1,1,,,,,,,homestead_waterrun_60304,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1104_0201_d_01_Task,,,,,,,,,,,,,,
1104_0201_d_02_Task,TaskKillContribution,,1,6,,,,,1,,homestead_waterrun_60304,,1,,,,,,,,,,Weeper,,,,,,,,,,,,,,,,,,,,@1104_0201_d_02_Task,,,,,,,,,,,,,,
1105_0201_d_00_Container_teardropgems,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105_0201_d_01_Task,1105_0201_d_01a_Container_teardropgems,,,
1105_0201_d_01_Task,TaskGoToPOITag,,1,1,,,,,1,,mine_haunted_whispering_60301,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1105_0201_d_01_Task,,,,,,,,,,,,,,
1105_0201_d_01a_Container_teardropgems,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1105_0201_d_03_Task,1105_0201_d_04_Task,1105_0201_d_05_Task,,
1105_0201_d_02_Task,TaskKillContribution,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1105_0201_d_02_Task,,,,,,,,,,,,,,
1105_0201_d_03_Task,TaskHaveAndReturnItems,,1,1,1105_0201_TeardropGems,Ghost_Starved_Named_04,100,,1,,mine_haunted_whispering_60301,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1105_0201_d_03_Task,,,,,,,,,,,,,,
1105_0201_d_04_Task,TaskHaveAndReturnItems,,1,1,1105_0201_TeardropGems_a,Ghost_Starved_Named_05,100,,1,,mine_haunted_whispering_60301,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1105_0201_d_04_Task,,,,,,,,,,,,,,
1105_0201_d_05_Task,TaskHaveAndReturnItems,,1,1,1105_0201_TeardropGems_b,Ghost_Shackled_Named_03,100,,1,,mine_haunted_whispering_60301,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1105_0201_d_05_Task,,,,,,,,,,,,,,
1105_0202_d_00_Container_excommunication,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105_0202_d_01_Task,1105_0202_d_02_Task,1105_0202_d_03_Task,1105_0202_d_04_Task,
1105_0202_d_01_Task,TaskGoToPOITag,,1,,,,,,1,,abandoned_homestead_highpoint_60303,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1105_0202_d_01_Task,,,,,,,,,,,,,,
1105_0202_d_02_Task,TaskKillContribution,,1,1,,,,,1,,abandoned_homestead_highpoint_60303,,1,,,,,,,,,,Undead_GraveDigger_Named_01,,,,,,,,,,,,,,,,,,,,@1105_0202_d_02_Task,,13435.849 7549.500 182.772,,,,,,,,,,,,
1105_0202_d_03_Task,TaskHaveAndReturnItems,,1,1,1105_0202_MedallionCofferKey,Undead_GraveDigger_Named_01,100,,1,,abandoned_homestead_highpoint_60303,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1105_0202_d_03_Task,,13435.849 7549.500 182.772,,,,,,,,,,,,
1105_0202_d_04_Task,TaskGatherAndReturnItems,,1,1,1105_0202_GoldMedallions,1104_MedallionChest,100,,1,,abandoned_homestead_highpoint_60303,,1,,,,,,,IO_1104_MedallionChest,,,,,,,,,,,,,,,,,,,,,,,@1105_0202_d_04_Task,,13432.458 7547.4814 183.6744,,,,,,,,,,,,
1111_0201_d_00_Container_deluge,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111_0201_d_01_container_Task,1111_0201_d_02_container_Task,1111_0201_d_03_container_Task,,
1111_0201_d_01_container_Task,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1111_0201_d_01a_Task,1111_0201_d_01b_Task,,,
1111_0201_d_01a_Task,TaskGoToPOITag,,1,1,,,,,1,,ancient_ruins_flooded_60315,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1111_0201_d_01a_Task,,,,,,,,,,,,,,
1111_0201_d_01b_Task,TaskGatherAndReturnItems,,1,1,1111_0201_MarbleOrb,1101_SilverOrb,100,,1,,ancient_ruins_flooded_60315,,1,,,,,,,IO_1101_SilverOrb,,,,,,,,,,,,,,,,,,,,,,,@1111_0201_d_01b_Task,,13082.407 6289.584 110.97,,,,,,,,,,,,
1111_0201_d_02_container_Task,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1111_0201_d_02a_Task,1111_0201_d_02b_Task,,,
1111_0201_d_02a_Task,TaskGoToPOITag,,1,1,,,,,1,,ancient_ruins_hillside_60317,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1111_0201_d_02a_Task,,,,,,,,,,,,,,
1111_0201_d_02b_Task,TaskGatherAndReturnItems,,1,1,1111_0201_StoneOrb,1102_StoneOrb,100,,1,,ancient_ruins_hillside_60317,,1,,,,,,,IO_1102_StoneOrb,,,,,,,,,,,,,,,,,,,,,,,@1111_0201_d_02b_Task,,12777.560 6537.231 150.71,,,,,,,,,,,,
1111_0201_d_03_container_Task,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1111_0201_d_03a_Task,1111_0201_d_03b_Task,,,
1111_0201_d_03a_Task,TaskGoToPOITag,,1,1,,,,,1,,ancient_ruins_streamside_60309,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1111_0201_d_03a_Task,,,,,,,,,,,,,,
1111_0201_d_03b_Task,TaskGatherAndReturnItems,,1,1,1111_0201_CopperOrb,1103_CopperOrb,100,,1,,ancient_ruins_streamside_60309,,1,,,,,,,IO_1103_CopperOrb,,,,,,,,,,,,,,,,,,,,,,,@1111_0201_d_03b_Task,,13133.203 6600.292 107.94,,,,,,,,,,,,
1111_0301_d_00_Container_roadtotruth,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111_0301_d_01_Container_roadtotruth_corvus,1111_0301_d_02_Container_roadtotruth_sagitta,,,
1111_0301_d_01_Container_roadtotruth_corvus,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1111_0301_d_01a_Task,1111_0301_d_01b_Task,,,
1111_0301_d_01a_Task,TaskGoToPOITag,,1,1,,,,,1,,ancient_lookout_sheperd_50306,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1111_0301_d_03_Task,,,,,,,,,,,,,,
1111_0301_d_01b_Task,TaskHaveAndReturnItems,,1,6,1111_0301_BrokenMail,Novaguard,45,,1,,ancient_lookout_sheperd_50306,,1,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,@1111_0301_d_04_Task,,,,,,,,,,,,,,
1111_0301_d_02_Container_roadtotruth_sagitta,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1111_0301_d_02a_Task,1111_0301_d_02b_Task,,,
1111_0301_d_02a_Task,TaskGoToPOITag,,1,1,,,,,1,,ancient_lookout_overgrowth_60306,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1111_0301_d_01_Task,,,,,,,,,,,,,,
1111_0301_d_02b_Task,TaskHaveAndReturnItems,,1,6,1111_0301_TatteredCloth,Novaguard,45,,1,,ancient_lookout_overgrowth_60306,,1,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,@1111_0301_d_02_Task,,,,,,,,,,,,,,
1111_0401_d_00_Container_ancienttruth,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111_0401_d_01_Task,1111_0401_d_02_Container_ancienttruth_killandloot,,,
1111_0401_d_01_Task,TaskGoToPOITag,,1,1,,,,,1,,ancient_watchtower_highbluff_60318,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1111_0401_d_01_Task,,,,,,,,,,,,,,
1111_0401_d_02_Container_ancienttruth_killandloot,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1111_0401_d_02a_Task,1111_0401_d_02b_Task,,,
1111_0401_d_02a_Task,TaskKillContribution,,1,12,,,,,1,,ancient_watchtower_highbluff_60318,,1,,,,,,,,,,Fineseer,,,,,,,,,,,,,,,,,,,,@1111_0401_d_02_Task,,,,,,,,,,,,,,
1111_0401_d_02b_Task,TaskHaveAndReturnItems,,1,1,1111_0401_AncientSpyglass,AncientGuardian_Javelineer_Named_01,100,,1,,ancient_watchtower_highbluff_60318,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1111_0401_d_03_Task,,,,,,,,,,,,,,
1111_0402_d_00_Container_corruptedenergy,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111_0402_d_01_Task,1111_0402_d_02_Container_corruptedenergy_killandinteract,,,
1111_0402_d_01_Task,TaskGoToPOITag,,1,1,,,,,1,,ancient_port_60336,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1111_0402_d_01_Task,,,,,,,,,,,,,,
1111_0402_d_02_Container_corruptedenergy_killandinteract,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1111_0402_d_02a_Task,1111_0402_d_02b_Task,,,
1111_0402_d_02a_Task,TaskKillContribution,,1,15,,,,,,,,,1,,,,,,,,,,Redeye,,,,,,,,,,,,,,,,,,,,@1111_0402_d_02_Task,,,,,,,,,,,,,,
1111_0402_d_02b_Task,TaskGameEvent,,,1,,,,,1,,ancient_port_60336,,1,,,,,,,IO_1105_CorruptedTotem,,,1105_CorruptedTotem_interact,,,,,,,,,,,,,,,,,,,,@1111_0402_d_03_Task,,13901.593 8188.688 116.636,1,,,,,,,,,,,
FM_1101_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_1101_tasks_first_container,M_ReturnToGiver,,,
FM_1101_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,FM_1101_leg_A_task,FM_1101_leg_B_task,FM_1101_leg_C_task,,
FM_1101_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_streamside_60309,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1101_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_flooded_60315,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1101_leg_C_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_hillside_60317,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1102_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_1102_tasks_first_container,M_ReturnToGiver,,,
FM_1102_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,FM_1102_leg_A_task,FM_1102_leg_B_task,FM_1102_leg_C_task,,
FM_1102_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_falls_60314,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1102_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_crossroads_60313,,1,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1102_leg_C_task,TaskKillContribution,,,8,,,,,1,,homestead_waterrun_60304,,1,,,,,,,,,,Weeper,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1103_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_1103_tasks_first_container,M_ReturnToGiver,,,
FM_1103_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,FM_1103_leg_A_task,FM_1103_leg_B_task,FM_1103_leg_C_task,,
FM_1103_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_seacliff_60312,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1103_leg_B_task,TaskKillContribution,,,8,,,,,1,,tree_offering_60319,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1103_leg_C_task,TaskKillContribution,,,8,,,,,1,,ancient_lookout_portside_60308,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1104_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_1104_tasks_first_container,M_ReturnToGiver,,,
FM_1104_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,FM_1104_leg_A_task,FM_1104_leg_B_task,FM_1104_leg_C_task,,
FM_1104_leg_A_task,TaskKillContribution,,,1,,,,,1,,mine_haunted_whispering_60301,,1,,,,,,,,,,Wraith,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1104_leg_B_task,TaskKillContribution,,,4,,,,,1,,nature_cave_smugglerscove_60320,,1,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1104_leg_C_task,TaskKillContribution,,,8,,,,,1,,wrecked_galleon_60339,,1,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1105_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_1105_tasks_first_container,M_ReturnToGiver,,,
FM_1105_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,FM_1105_leg_A_task,FM_1105_leg_B_task,FM_1105_leg_C_task,,
FM_1105_leg_A_task,TaskKillContribution,,,1,,,,,1,,wolf_den_forestsouth_60322,,1,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1105_leg_B_task,TaskKillContribution,,,4,,,,,1,,wolf_den_forestnorth_60324,,1,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1105_leg_C_task,TaskKillContribution,,,5,,,,,1,,ancient_lookout_forestsouth_60307,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1106_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_1106_tasks_first_container,M_ReturnToGiver,,,
FM_1106_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,FM_1106_leg_A_task,FM_1106_leg_B_task,FM_1106_leg_C_task,,
FM_1106_leg_A_task,TaskKillContribution,,,8,,,,,1,,shipwreck_eastbayshipwreck_60302,,1,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1106_leg_B_task,TaskKillContribution,,,4,,,,,1,,nature_cave_smugglerscove_60320,,1,,,,,,,,,,Seasong,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1106_leg_C_task,TaskKillContribution,,,8,,,,,1,,abandoned_homestead_highpoint_60303,,1,,,,,,,,,,Dorado,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1107_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_1107_tasks_first_container,M_ReturnToGiver,,,
FM_1107_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,FM_1107_leg_A_task,FM_1107_leg_B_task,FM_1107_leg_C_task,,
FM_1107_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_forest_60310,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1107_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_lookout_highcliff,,1,,,,,,,,,,Wardog,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1107_leg_C_task,TaskKillContribution,,,8,,,,,1,,abandoned_homestead_overlook,,1,,,,,,,,,,Wardog,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1108_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_1108_tasks_first_container,M_ReturnToGiver,,,
FM_1108_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,FM_1108_leg_A_task,FM_1108_leg_B_task,FM_1108_leg_C_task,,
FM_1108_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_woods_60316,,1,,,,,,,,,,Novaguard,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1108_leg_B_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_forest_60310,,1,,,,,,,,,,Carrionstar,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1108_leg_C_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_mourningbridge,,1,,,,,,,,,,Novaguard,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
FM_1109_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM_1109_tasks_first_container,M_ReturnToGiver,,,
FM_1109_tasks_first_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,FM_1109_leg_A_task,FM_1109_leg_B_task,FM_1109_leg_C_task,,
FM_1109_leg_A_task,TaskKillContribution,,,8,,,,,1,,ancient_ruins_mourningbridge,,1,,,,,,,,,,Novaguard,,,,,,,,,,,,,,,,,,,,@objective_mission_kill_generic_at_POI,,,,,,,,,,,,,,
