EventID,GameEventType,Level,CreatureType,RewardModifier,UniversalExpAmount,CurrencyReward,ItemReward,RewardsNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance
1334_0201_olfactoryoptimization_success,,36,Quest,Weapons,2610,8250,Amulet_QuestL36,,,,,175,1,1,,,true,10,1
1335_0201_misplacedtreasure_success,,30,Quest,Armor,2190,7500,QuestRewardArmorL30,,,,,175,,,,,true,10,1
1335_0202_canopus_success,,34,Quest,Weapons,2480,8000,QuestRewardWeaponsL34,,,,,175,,,,,true,10,1
1335_0203_lasluswell_success,,38,Quest+,Armor,3420,11900,QuestRewardArmorL38,,,,,250,,,,,true,20,1
1335_0204_reunion_success,,38,Quest-,Weapons,2050,3400,Ring_QuestL38,,,,,100,,,,,true,5,1
1303_1311_Protective_Wyrd_Gear_Success,,55,Quest+,,4450,14875,TransferenceBox,,,,,250,,,,,true,30,1
1303_1311_01_Shoes_Success,,40,Quest+,,3570,12250,,,,,,250,,,,,true,20,1
1303_1311_02_Shirt_Success,,44,Quest+,,3890,12950,,,,,,250,,,,,true,20,1
1303_1311_03_Pants_Success,,48,Quest+,,4190,13650,,,,,,250,,,,,true,20,1
1303_1311_04_Gloves_Success,,52,Quest+,,4410,14350,,,,,,250,,,,,true,20,1
1303_1311_05_Hat_Success,,55,Quest+,,4450,14875,,,,,,250,,,,,true,30,1
1301_ForgingTongs_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
1302_ForgingBellows_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
1303_ForgingHammer_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
1304_EctoplasmA_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
1304_EctoplasmB_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
1304_EctoplasmC_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
1304_EctoplasmD_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
1305_CursedAltar_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
1310_1314_L40Bow_Huntress_Success,,50,Quest+,,4340,14000,,,,,,250,,,,,true,20,1
1310_1314_AncientWood_Quest_Success,,50,Quest+,,4340,14000,,,,,,250,,,,,true,20,1
1310_1314_WyrdwoodResin_Quest_Success,,50,Quest+,,4340,14000,,,,,,250,,,,,true,20,1
1310_1314_HawkFeathers_Quest_Success,,50,Quest+,,4340,14000,,,,,,250,,,,,true,20,1
1310_1314_LuckyRabbitsFoot_Quest_Success,,50,Quest+,,4340,14000,,,,,,250,,,,,true,20,1
1305_1315_L40FStaff_FalmeasWrath_Success,,50,Quest+,,4340,14000,,,,,,250,,,,,true,20,1
1305_1315_SingedBranches_Quest_Success,,50,Quest+,,4340,14000,,,,,,250,,,,,true,20,1
1305_1315_WyrdwoodAshes_Quest_Success,,50,Quest+,,4340,14000,,,,,,250,,,,,true,20,1
1305_1315_UnhallowedWater_Quest_Success,,50,Quest+,,4340,14000,,,,,,250,,,,,true,20,1
1305_1315_HeartofAllFlame_Quest_Success,,50,Quest+,,4340,14000,,,,,,250,,,,,true,20,1
13_Summer_01_Welcome_success,,20,Quest,,1440,6250,,,,SummerEventProgress,250,175,,,,,true,10,1
13_Summer_02_Maudlinbugs_success,,20,Quest,,1440,6250,,,,SummerEventProgress,250,175,,,,,true,10,1
13_Summer_03_CatchSturgeon_success,,20,Quest,,1440,6250,,,,SummerEventProgress,250,175,,,,,true,10,1
13_Summer_04_Carpenter_success,,20,Quest,,1440,6250,,,,SummerEventProgress,250,175,,,,,true,10,1
13_Summer_05_Florist_success,,20,Quest,,1440,6250,,,,SummerEventProgress,250,175,,,,,true,10,1
13_Summer_06_Beekeep_success,,20,Quest,,1440,6250,,,,SummerEventProgress,250,175,,,,,true,10,1
13_Summer_07_Baker_success,,20,Quest,,1440,6250,,,,SummerEventProgress,250,175,,,,,true,10,1
13_Summer_08_Poet_success,,20,Quest,,1440,6250,,,,SummerEventProgress,250,175,,,,,true,10,1
13_Summer_09_PlayWithBand_success,,20,Quest,,1440,6250,,,,SummerEventProgress,250,175,,,,,true,10,1
13_Summer_AzFluteT1_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
13_Summer_DrumT1_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
13_Summer_GuitarT1_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
13_Summer_MandolinT1_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
13_Summer_URBassT1_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
13_Summer_Apiary_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
13_Summer_FlowerBox_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
13_Summer_MaudlinbugWaltz_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
