EventID,GameEventType,Level,CreatureType,RewardModifier,RewardType,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperID,AchievementId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
99F_MSQ_05_Tea_Leaf_Bush03_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_06_Incense1_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_06_Incense2_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_06_Incense3_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_06_RingBell_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_07_EmpressPoetry_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_07_CollectMetalPlant_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_07_CollectFirePlant_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_07_CollectWaterPlant_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_07_CollectEarthPlant_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_08_Incense_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_08_Liang_Soul_SeparationStart,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_08_Liang_Soul_SeparationAdd,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_08_Liang_Soul_Separation_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_09_Liang_Wood_Carving_Kit_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_10_CommandSeal01_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_10_CommandSeal02_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_10_CommandSeal03_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_12_EmpressPoem_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,,,,,,,true
99F_MSQ_ER_GatherAllies_Isabella_A_Whisper,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,99F_MSQ_ER_GatherAllies_Isabella_A_Whisper,,,,,,true
99F_MSQ_ER_GatherAllies_Isabella_B_Whisper,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,99F_MSQ_ER_GatherAllies_Isabella_B_Whisper,,,,,,true
99F_MSQ_ER_GatherAllies_Isabella_C_Whisper,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,99F_MSQ_ER_GatherAllies_Isabella_C_Whisper,,,,,,true
99F_MSQ_ER_MeetWiseman_Isabella_A_Whisper,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,99F_MSQ_ER_MeetWiseman_Isabella_A_Whisper,,,,,,true
99F_LiangGift_VoicedLoreNote_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,99F_LiangGift_VoicedLoreNote,,,,,,true
99F_EmpressPoem_VoicedLoreNote_interact,,0,Quest,0,,0,0,,,,,,,,,,,,0,0,99F_EmpressPoem_VoicedLoreNote,,,,,,true
