ItemID,HairChop,HideHair,HideFacialHair,HideLegs,HideHead,MaskRColor,MaskROverride,MaskR,MaskRDyeOverride,MaskRDye,MaskGColor,MaskGOverride,MaskG,MaskGDyeOverride,MaskGDye,MaskBColor,MaskBOverride,MaskB,MaskBDyeOverride,MaskBDye,MaskASpecColor,MaskASpec,MaskASpecDye,MaskAGlossShift,MaskAGloss,EmissiveColor,EmissiveIntensity,Skin1,Material1,IsSkin1,Mask1,Skin2,Material2,IsSkin2,Mask2,Left/On,Right/Off,ForceShortsleeves,ShortsleeveChestSkin,ForceHideForearms,HandsNoForearmsSkin,AttachmentOffsets,LeftHandOnlySkin,RightHandOnlySkin,LeftSleeveOnlyChestSkin,RightSleeveOnlyChestSkin,AppearanceCDF,RDyeSlotDisabled,GDyeSlotDisabled,BDyeSlotDisabled,ADyeSlotDisabled,IconPath,HiResIconPath,IconCaptureGroup
F_Conquistador_Pants_T1,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/female/conquistadorT1/female_conquistadorT1_thighs.skin,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_thighs_matGroup.mtl,0,,,,,,FLY_MetalLight_Leg_L,FLY_MetalLight_Leg_R,0,,,,,,,,,,0,0,0,0,lyshineui/images/icons/items/Armor/Legs_SoldierT2.png,lyshineui/images/icons/items_hires/Legs_SoldierT2.png,Legs
F_Conquistador_Boots_T1,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/female/conquistadorT1/female_conquistadorT1_calves.skin,Objects/Characters/player/male/conquistadorT1/male_conquistadorT1_calves_matGroup.mtl,0,,,,,,,,0,,,,,,,,,,0,0,0,0,lyshineui/images/icons/items/Armor/HeavyFeetAT2.png,lyshineui/images/icons/items_hires/HeavyFeetAT2.png,Feet
Conquistador_Helm_T2,HELMBACK,1,1,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_helmet.skin,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_helmet_matGroup.mtl,0,,,,,,Enable_MetalLight_VoiceFX,Disable_MetalLight_VoiceFX,0,,,,,,,,,,1,1,1,0,lyshineui/images/icons/items/Armor/Conquistador_Helm_T2.png,lyshineui/images/icons/items_hires/Conquistador_Helm_T2.png,Head
Conquistador_Chest_T2,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/male/conquistadort2/male_conquistadort2_forearms_hands.skin,objects/characters/player/male/conquistadort2/male_conquistadort2_chest_matgroup.mtl,0,,,,1,,FLY_MetalMed_Arm_L,FLY_MetalMed_Arm_R,0,objects/characters/player/male/conquistadort2/male_conquistadort2_chest.skin,,,,,,objects/characters/player/male/conquistadort2/male_conquistadort2_forearms_left.skin,objects/characters/player/male/conquistadort2/male_conquistadort2_forearms_right.skin,,0,0,0,0,lyshineui/images/icons/items/Armor/HeavyChestAT3.png,lyshineui/images/icons/items_hires/HeavyChestAT3.png,Chest
Conquistador_Chest_Alt_T2,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/male/conquistadorpufft2/male_conquistadorpufft2_forearms_hands.skin,Objects/Characters/player/male/conquistadorPuffT2/male_conquistadorPuffT2_chest_matGroup.mtl,0,,,,1,,FLY_MetalMed_Arm_L,FLY_MetalMed_Arm_R,0,objects/characters/player/male/conquistadorpufft2/male_conquistadorpufft2_chest.skin,,,,,,objects/characters/player/male/conquistadorpufft2/male_conquistadorpufft2_chest.skin,objects/characters/player/male/conquistadorpufft2/male_conquistadorpufft2_chest.skin,,0,0,0,0,,,
Conquistador_Gloves_T2,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_forearms.skin,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_forearms_matGroup.mtl,0,,,,1,,,,1,,,,,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_left_forearm.skin,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_right_forearm.skin,,,,0,0,1,0,lyshineui/images/icons/items/Armor/Hands_SoldierT3.png,lyshineui/images/icons/items_hires/Hands_SoldierT3.png,Arms
Conquistador_Pants_T2,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_thighs.skin,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_thighs_matGroup.mtl,0,,,,,,FLY_MetalMed_Leg_L,FLY_MetalMed_Leg_R,0,,,,,,,,,,0,0,0,0,lyshineui/images/icons/items/Armor/Legs_SoldierT3.png,lyshineui/images/icons/items_hires/Legs_SoldierT3.png,Legs
Conquistador_Boots_T2,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_calves.skin,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_calves_matGroup.mtl,0,,,,,,,,0,,,,,,,,,,0,0,0,0,lyshineui/images/icons/items/Armor/Feet_SoldierT3.png,lyshineui/images/icons/items_hires/Feet_SoldierT3.png,Feet
F_Conquistador_Helm_T2,HELMBACK,1,1,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/female/conquistadorT2/female_conquistadorT2_helmet.skin,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_helmet_matGroup.mtl,0,,,,,,Enable_MetalLight_VoiceFX,Disable_MetalLight_VoiceFX,0,,,,,,,,,,1,1,1,0,lyshineui/images/icons/items/Armor/Conquistador_Helm_T2.png,lyshineui/images/icons/items_hires/Conquistador_Helm_T2.png,Head
F_Conquistador_Chest_T2,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/female/conquistadort2/female_conquistadort2_forearms_hands.skin,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_chest_matGroup.mtl,0,,,,1,,FLY_MetalMed_Arm_L,FLY_MetalMed_Arm_R,0,objects/characters/player/female/conquistadort2/female_conquistadort2_chest.skin,,,,,,objects/characters/player/female/conquistadort2/female_conquistadort2_forearms_left.skin,objects/characters/player/female/conquistadort2/female_conquistadort2_forearms_right.skin,,0,0,0,0,lyshineui/images/icons/items/Armor/HeavyChestAT3.png,lyshineui/images/icons/items_hires/HeavyChestAT3.png,Chest
F_Conquistador_Chest_Alt_T2,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/female/conquistadorpufft2/female_conquistadorpufft2_forearms_hands.skin,Objects/Characters/player/male/conquistadorPuffT2/male_conquistadorPuffT2_chest_matGroup.mtl,0,,,,1,,FLY_MetalMed_Arm_L,FLY_MetalMed_Arm_R,0,objects/characters/player/female/conquistadorpufft2/female_conquistadorpufft2_chest.skin,,,,,,objects/characters/player/female/conquistadorpufft2/female_conquistadorpufft2_chest.skin,objects/characters/player/female/conquistadorpufft2/female_conquistadorpufft2_chest.skin,,0,0,0,0,,,
F_Conquistador_Gloves_T2,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/female/conquistadorT2/female_conquistadorT2_forearms.skin,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_forearms_matGroup.mtl,0,,,,1,,,,1,,,,,Objects/Characters/player/female/conquistadorT2/female_conquistadorT2_left_forearm.skin,Objects/Characters/player/female/conquistadorT2/female_conquistadorT2_right_forearm.skin,,,,0,0,1,0,lyshineui/images/icons/items/Armor/Hands_SoldierT3.png,lyshineui/images/icons/items_hires/Hands_SoldierT3.png,Arms
F_Conquistador_Pants_T2,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/female/conquistadorT2/female_conquistadorT2_thighs.skin,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_thighs_matGroup.mtl,0,,,,,,FLY_MetalMed_Leg_L,FLY_MetalMed_Leg_R,0,,,,,,,,,,0,0,0,0,lyshineui/images/icons/items/Armor/Legs_SoldierT3.png,lyshineui/images/icons/items_hires/Legs_SoldierT3.png,Legs
F_Conquistador_Boots_T2,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/female/conquistadorT2/female_conquistadorT2_calves.skin,Objects/Characters/player/male/conquistadorT2/male_conquistadorT2_calves_matGroup.mtl,0,,,,,,,,0,,,,,,,,,,0,0,0,0,lyshineui/images/icons/items/Armor/Feet_SoldierT3.png,lyshineui/images/icons/items_hires/Feet_SoldierT3.png,Feet
Conquistador_Helm_T3,HELMBACK,1,1,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_helmet.skin,Objects/Characters/player/male/conquistadorT3/male_conquistadort3_00_helmet2_matgroup.mtl,0,,,,,,Enable_MetalLight_VoiceFX,Disable_MetalLight_VoiceFX,0,,,,,,,,,,0,1,1,0,lyshineui/images/icons/items/Armor/HeavyHeadAT4.png,lyshineui/images/icons/items_hires/HeavyHeadAT4.png,Head
Conquistador_Chest_T3,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/male/conquistadort3/male_conquistadort3_forearms_hands.skin,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_chest_matGroup.mtl,0,,,,1,,FLY_MetalMed_Arm_L,FLY_MetalMed_Arm_R,0,objects/characters/player/male/conquistadort3/male_conquistadort3_chest.skin,,,,,,objects/characters/player/male/conquistadort3/male_conquistadort3_forearms_left.skin,objects/characters/player/male/conquistadort3/male_conquistadort3_forearms_right.skin,,0,0,0,0,lyshineui/images/icons/items/Armor/Conquistador_Chest_T3.png,lyshineui/images/icons/items_hires/Conquistador_Chest_T3.png,Chest
Conquistador_Chest_Alt_T3,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/male/conquistadorpufft3/male_conquistadorpufft3_forearms_hands.skin,Objects/Characters/player/male/conquistadorPuffT3/male_conquistadorPuffT3_chest_matGroup.mtl,0,,,,1,,FLY_MetalMed_Arm_L,FLY_MetalMed_Arm_R,0,objects/characters/player/male/conquistadorpufft3/male_conquistadorpufft3_chest.skin,,,,,,objects/characters/player/male/conquistadorpufft3/male_conquistadorpufft3_forearms_left.skin,objects/characters/player/male/conquistadorpufft3/male_conquistadorpufft3_forearms_right.skin,,0,0,0,0,lyshineui/images/icons/items/Armor/HeavyHands_GuardiansGauntletsT5.png,lyshineui/images/icons/items_hires/HeavyHands_GuardiansGauntletsT5.png,
Conquistador_Gloves_T3,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_forearms.skin,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_forearms_matGroup.mtl,0,,,,1,,,,1,,,,,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_left_forearm.skin,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_right_forearm.skin,,,,0,0,0,0,lyshineui/images/icons/items/Armor/HeavyHandsAT4.png,lyshineui/images/icons/items_hires/HeavyHandsAT4.png,Arms
Conquistador_Pants_T3,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_thighs.skin,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_thighs_matGroup.mtl,0,,,,,,FLY_MetalMed_Leg_L,FLY_MetalMed_Leg_R,0,,,,,,,,,,0,0,0,0,lyshineui/images/icons/items/Armor/HeavyLegsAT4.png,lyshineui/images/icons/items_hires/HeavyLegsAT4.png,Legs
Conquistador_Boots_T3,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_calves.skin,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_calves_matGroup.mtl,0,,,,,,,,0,,,,,,,,,,0,0,0,0,lyshineui/images/icons/items/Armor/Feet_HeavyT3.png,lyshineui/images/icons/items_hires/Feet_HeavyT3.png,Feet
F_Conquistador_Helm_T3,HELMBACK,1,1,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/female/conquistadorT3/female_conquistadorT3_helmet.skin,Objects/Characters/player/male/conquistadorT3/male_conquistadort3_00_helmet2_matgroup.mtl,0,,,,,,Enable_MetalLight_VoiceFX,Disable_MetalLight_VoiceFX,0,,,,,,,,,,0,1,1,0,lyshineui/images/icons/items/Armor/HeavyHeadAT4.png,lyshineui/images/icons/items_hires/HeavyHeadAT4.png,Head
F_Conquistador_Chest_T3,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/female/conquistadort3/female_conquistadort3_forearms_hands.skin,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_chest_matGroup.mtl,0,,,,1,,FLY_MetalMedArm_L,FLY_MetalMed_Arm_R,0,objects/characters/player/female/conquistadort3/female_conquistadort3_chest.skin,,,,,,objects/characters/player/female/conquistadort3/female_conquistadort3_forearms_left.skin,objects/characters/player/female/conquistadort3/female_conquistadort3_forearms_right.skin,,0,0,0,0,lyshineui/images/icons/items/Armor/Conquistador_Chest_T3.png,lyshineui/images/icons/items_hires/Conquistador_Chest_T3.png,Chest
F_Conquistador_Chest_Alt_T3,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/female/conquistadorpufft3/female_conquistadorpufft3_forearms_hands.skin,Objects/Characters/player/male/conquistadorPuffT3/male_conquistadorPuffT3_chest_matGroup.mtl,0,,,,1,,FLY_MetalMed_Arm_L,FLY_MetalMedt_Arm_R,0,objects/characters/player/female/conquistadorpufft3/female_conquistadorpufft3_chest.skin,,,,,,objects/characters/player/female/conquistadorpufft3/female_conquistadorpufft3_chest.skin,objects/characters/player/female/conquistadorpufft3/female_conquistadorpufft3_chest.skin,,0,0,0,0,,,
F_Conquistador_Gloves_T3,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/female/conquistadorT3/female_conquistadorT3_forearms.skin,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_forearms_matGroup.mtl,0,,,,1,,,,1,,,,,Objects/Characters/player/female/conquistadorT3/female_conquistadorT3_left_forearm.skin,Objects/Characters/player/female/conquistadorT3/female_conquistadorT3_right_forearm.skin,,,,0,0,0,0,lyshineui/images/icons/items/Armor/HeavyHandsAT4.png,lyshineui/images/icons/items_hires/HeavyHandsAT4.png,Arms
F_Conquistador_Pants_T3,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/female/conquistadorT3/female_conquistadorT3_thighs.skin,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_thighs_matGroup.mtl,0,,,,,,FLY_MetalMed_Leg_L,FLY_MetalMed_Leg_R,0,,,,,,,,,,0,0,0,0,lyshineui/images/icons/items/Armor/HeavyLegsAT4.png,lyshineui/images/icons/items_hires/HeavyLegsAT4.png,Legs
F_Conquistador_Boots_T3,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/female/conquistadorT3/female_conquistadorT3_calves.skin,Objects/Characters/player/male/conquistadorT3/male_conquistadorT3_calves_matGroup.mtl,0,,,,,,,,0,,,,,,,,,,0,0,0,0,lyshineui/images/icons/items/Armor/Feet_HeavyT3.png,lyshineui/images/icons/items_hires/Feet_HeavyT3.png,Feet
Cloth_Hat_T1,BRIM,1,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/clothT1/male_clothT1_helmet.skin,Objects/Characters/player/male/clothT1/male_clothT1_helmet_matGroup.mtl,0,,,,,,,,0,,,,,,,,,,0,0,1,1,lyshineui/images/icons/items/Armor/LightHeadAT2.png,lyshineui/images/icons/items_hires/LightHeadAT2.png,Head
Cloth_Shirt_T1,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,objects/characters/player/male/clotht1/male_clotht1_forearms_hands.skin,Objects/Characters/player/male/clothT1/male_clothT1_chest_matGroup.mtl,0,,,,1,,FLY_ClothLight_Arm_L,FLY_ClothLight_Arm_R,0,objects/characters/player/male/clotht1/male_clotht1_chest.skin,,,,,,objects/characters/player/male/clotht1/male_clotht1_forearms_left.skin,objects/characters/player/male/clotht1/male_clotht1_forearms_right.skin,,0,1,1,0,lyshineui/images/icons/items/Armor/Chest_DuelistT2.png,lyshineui/images/icons/items_hires/Chest_DuelistT2.png,Chest
Cloth_Gloves_T1,NONE,0,0,0,,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0,0.05,1,#b8b8b8,0,0.3,0.5,0,,,Objects/Characters/player/male/clothT1/male_clothT1_forearms.skin,Objects/Characters/player/male/clothT1/male_clothT1_forearms_matGroup.mtl,0,,,,1,,,,1,,,,,Objects/Characters/player/male/clothT1/male_clotht1_left_forearm.skin,Objects/Characters/player/male/clothT1/male_clotht1_right_forearm.skin,,,,0,1,1,1,lyshineui/images/icons/items/Armor/Hands_DuelistT2.png,lyshineui/images/icons/items_hires/Hands_DuelistT2.png,Arms
