VitalsCategoryID,DisplayName,Icon,LocationHint,LocStringGenerationHelper,GroupVitalsCategoryId,IsNamed,IsDynamicPoiTarget,MtlOverride,FemaleMtlOverride
Alligator_Black_37,@VC_Alligator_Black_37,,,"<string key=""VC_Alligator_Black_37"">Alligator_Black_37</string>",Generic,,,,
Alligator_Black_38_15EC00,@VC_Alligator_Black_38_15EC00,,,"<string key=""VC_Alligator_Black_38_15EC00"">Alligator_Black_38_15EC00</string>",,,,,
Alligator_Black_39,@VC_Alligator_Black_39,,,"<string key=""VC_Alligator_Black_39"">Alligator_Black_39</string>",Generic,,,,
Alligator_Black_40_15EC00,@VC_Alligator_Black_40_15EC00,,,"<string key=""VC_Alligator_Black_40_15EC00"">Alligator_Black_40_15EC00</string>",,,,,
Alligator_Black_41,@VC_Alligator_Black_41,,,"<string key=""VC_Alligator_Black_41"">Alligator_Black_41</string>",Generic,,,,
Alligator_Black_42,@VC_Alligator_Black_42,,,"<string key=""VC_Alligator_Black_42"">Alligator_Black_42</string>",Generic,,,,
Alligator_Black_43,@VC_Alligator_Black_43,,,"<string key=""VC_Alligator_Black_43"">Alligator_Black_43</string>",Generic,,,,
Alligator_Black_44,@VC_Alligator_Black_44,,,"<string key=""VC_Alligator_Black_44"">Alligator_Black_44</string>",Generic,,,,
Alligator_Black_45,@VC_Alligator_Black_45,,,"<string key=""VC_Alligator_Black_45"">Alligator_Black_45</string>",Generic,,,,
Alligator_Black_46,@VC_Alligator_Black_46,,,"<string key=""VC_Alligator_Black_46"">Alligator_Black_46</string>",Generic,,,,
Alligator_Black_47,@VC_Alligator_Black_47,,,"<string key=""VC_Alligator_Black_47"">Alligator_Black_47</string>",Generic,,,,
Alligator_Black_48,@VC_Alligator_Black_48,,,"<string key=""VC_Alligator_Black_48"">Alligator_Black_48</string>",Generic,,,,
Alligator_Black_49,@VC_Alligator_Black_49,,,"<string key=""VC_Alligator_Black_49"">Alligator_Black_49</string>",Generic,,,,
Alligator_Black_50,@VC_Alligator_Black_50,,,"<string key=""VC_Alligator_Black_50"">Alligator_Black_50</string>",Generic,,,,
Alligator_Black_51,@VC_Alligator_Black_51,,,"<string key=""VC_Alligator_Black_51"">Alligator_Black_51</string>",Generic,,,,
Alligator_Black_52,@VC_Alligator_Black_52,,,"<string key=""VC_Alligator_Black_52"">Alligator_Black_52</string>",Generic,,,,
Alligator_Black_53,@VC_Alligator_Black_53,,,"<string key=""VC_Alligator_Black_53"">Alligator_Black_53</string>",Generic,,,,
Alligator_Black_54,@VC_Alligator_Black_54,,,"<string key=""VC_Alligator_Black_54"">Alligator_Black_54</string>",Generic,,,,
Alligator_Black_55,@VC_Alligator_Black_55,,,"<string key=""VC_Alligator_Black_55"">Alligator_Black_55</string>",Generic,,,,
Alligator_Black_56,@VC_Alligator_Black_56,,,"<string key=""VC_Alligator_Black_56"">Alligator_Black_56</string>",Generic,,,,
Alligator_Black_57,@VC_Alligator_Black_57,,,"<string key=""VC_Alligator_Black_57"">Alligator_Black_57</string>",Generic,,,,
Alligator_Black_58,@VC_Alligator_Black_58,,,"<string key=""VC_Alligator_Black_58"">Alligator_Black_58</string>",Generic,,,,
Alligator_Black_59,@VC_Alligator_Black_59,,,"<string key=""VC_Alligator_Black_59"">Alligator_Black_59</string>",Generic,,,,
Alligator_Black_59_08QP01,@VC_Alligator_Black_59_08QP01,,,"<string key=""VC_Alligator_Black_59_08QP01"">Alligator_Black_59_08QP01</string>",Ebonscale_Alligator,,,Objects\Characters\npc\natural\alligator\alligator_alt3_matgroup.mtl,
Alligator_Black_60,@VC_Alligator_Black_60,,,"<string key=""VC_Alligator_Black_60"">Alligator_Black_60</string>",Generic,,,,
Alligator_Black_60_08QP01,@VC_Alligator_Black_60_08QP01,,,"<string key=""VC_Alligator_Black_60_08QP01"">Alligator_Black_60_08QP01</string>",Ebonscale_Alligator,,,Objects\Characters\npc\natural\alligator\alligator_alt3_matgroup.mtl,
Alligator_Black_61,@VC_Alligator_Black_61,,,"<string key=""VC_Alligator_Black_61"">Alligator_Black_61</string>",Generic,,,,
Alligator_Black_62,@VC_Alligator_Black_62,,,"<string key=""VC_Alligator_Black_62"">Alligator_Black_62</string>",Generic,,,,
Alligator_Black_63,@VC_Alligator_Black_63,,,"<string key=""VC_Alligator_Black_63"">Alligator_Black_63</string>",Generic,,,,
Alligator_Black_64,@VC_Alligator_Black_64,,,"<string key=""VC_Alligator_Black_64"">Alligator_Black_64</string>",Generic,,,,
Alligator_Black_65,@VC_Alligator_Black_65,,,"<string key=""VC_Alligator_Black_65"">Alligator_Black_65</string>",Generic,,,,
Alligator_Black_66,@VC_Alligator_Black_66,,,"<string key=""VC_Alligator_Black_66"">Alligator_Black_66</string>",Generic,,,,
Alligator_Black_67,@VC_Alligator_Black_67,,,"<string key=""VC_Alligator_Black_67"">Alligator_Black_67</string>",Generic,,,,
Alligator_Black_Named_00,@VC_Alligator_Black_Named_00,,,"<string key=""VC_Alligator_Black_Named_00"">Alligator_Black_Named_00</string>",,true,true,,
Alligator_Black_Named_01,@VC_Alligator_Black_Named_01,,,"<string key=""VC_Alligator_Black_Named_01"">Alligator_Black_Named_01</string>",Damnation,true,true,,
Alligator_Black_Named_02,@VC_Alligator_Black_Named_02,,,"<string key=""VC_Alligator_Black_Named_02"">Alligator_Black_Named_02</string>",Periville,true,true,,
Alligator_Strange,@VC_Alligator_Strange,,,"<string key=""VC_Alligator_Strange"">Alligator_Strange</string>",BASE,,,,
Alligator_Strange_05WC02,@VC_Alligator_Strange_05WC02,,,"<string key=""VC_Alligator_Strange_05WC02"">Alligator_Strange_05WC02</string>",05WC02 - <name here>,,,,
Alligator_Strange_05WC05,@VC_Alligator_Strange_05WC05,,,"<string key=""VC_Alligator_Strange_05WC05"">Alligator_Strange_05WC05</string>",Tricorne,,,,
Alligator_Strange_05WC08,@VC_Alligator_Strange_05WC08,,,"<string key=""VC_Alligator_Strange_05WC08"">Alligator_Strange_05WC08</string>",Dreamless,,,,
Alligator_Strange_07SM03,@VC_Alligator_Strange_07SM03,,,"<string key=""VC_Alligator_Strange_07SM03"">Alligator_Strange_07SM03</string>",Shattered,,,,
Alligator_Strange_07SM08,@VC_Alligator_Strange_07SM08,,,"<string key=""VC_Alligator_Strange_07SM08"">Alligator_Strange_07SM08</string>",Shattered,,,,
Alligator_Strange_08QP05,@VC_Alligator_Strange_08QP05,,,"<string key=""VC_Alligator_Strange_08QP05"">Alligator_Strange_08QP05</string>",,,,Objects\Characters\npc\natural\alligator\alligator_alt4_matgroup.mtl,
Alligator_Strange_10WS03,@VC_Alligator_Strange_10WS03,,,"<string key=""VC_Alligator_Strange_10WS03"">Alligator_Strange_10WS03</string>",,,,,
Alligator_Strange_10WS04,@VC_Alligator_Strange_10WS04,,,"<string key=""VC_Alligator_Strange_10WS04"">Alligator_Strange_10WS04</string>",,,,,
Alligator_Strange_10WS05,@VC_Alligator_Strange_10WS05,,,"<string key=""VC_Alligator_Strange_10WS05"">Alligator_Strange_10WS05</string>",,,,,
Alligator_Strange_10WS06,@VC_Alligator_Strange_10WS06,,,"<string key=""VC_Alligator_Strange_10WS06"">Alligator_Strange_10WS06</string>",,,,,
Alligator_Strange_10WS07,@VC_Alligator_Strange_10WS07,,,"<string key=""VC_Alligator_Strange_10WS07"">Alligator_Strange_10WS07</string>",,,,,
Alligator_Strange_10WS08,@VC_Alligator_Strange_10WS08,,,"<string key=""VC_Alligator_Strange_10WS08"">Alligator_Strange_10WS08</string>",,,,,
Alligator_Strange_51,@VC_Alligator_Strange_51,,,"<string key=""VC_Alligator_Strange_51"">Alligator_Strange_51</string>",Generic,,,,
Alligator_Strange_52,@VC_Alligator_Strange_52,,,"<string key=""VC_Alligator_Strange_52"">Alligator_Strange_52</string>",Generic,,,,
Alligator_Strange_53,@VC_Alligator_Strange_53,,,"<string key=""VC_Alligator_Strange_53"">Alligator_Strange_53</string>",Generic,,,,
Alligator_Strange_54,@VC_Alligator_Strange_54,,,"<string key=""VC_Alligator_Strange_54"">Alligator_Strange_54</string>",Generic,,,,
Alligator_Strange_55,@VC_Alligator_Strange_55,,,"<string key=""VC_Alligator_Strange_55"">Alligator_Strange_55</string>",Generic,,,,
Alligator_Strange_56,@VC_Alligator_Strange_56,,,"<string key=""VC_Alligator_Strange_56"">Alligator_Strange_56</string>",Generic,,,,
Alligator_Strange_57,@VC_Alligator_Strange_57,,,"<string key=""VC_Alligator_Strange_57"">Alligator_Strange_57</string>",Generic,,,,
Alligator_Strange_58,@VC_Alligator_Strange_58,,,"<string key=""VC_Alligator_Strange_58"">Alligator_Strange_58</string>",Generic,,,,
Alligator_Strange_59,@VC_Alligator_Strange_59,,,"<string key=""VC_Alligator_Strange_59"">Alligator_Strange_59</string>",Generic,,,,
Alligator_Strange_60,@VC_Alligator_Strange_60,,,"<string key=""VC_Alligator_Strange_60"">Alligator_Strange_60</string>",Generic,,,,
Alligator_Strange_60_08QP01,@VC_Alligator_Strange_60_08QP01,,,"<string key=""VC_Alligator_Strange_60_08QP01"">Alligator_Strange_60_08QP01</string>",Ebonscale_Alligator,,,Objects\Characters\npc\natural\alligator\alligator_alt3_matgroup.mtl,
Alligator_Strange_61,@VC_Alligator_Strange_61,,,"<string key=""VC_Alligator_Strange_61"">Alligator_Strange_61</string>",Generic,,,,
Alligator_Strange_62,@VC_Alligator_Strange_62,,,"<string key=""VC_Alligator_Strange_62"">Alligator_Strange_62</string>",Generic,,,,
Alligator_Strange_DG_Restless_00,@VC_Alligator_Strange_DG_Restless_00,,,"<string key=""VC_Alligator_Strange_DG_Restless_00"">Alligator_Strange_DG_Restless_00</string>",Skerryshiv,,,,
Alligator_Strange_Named_03GC02,@VC_Alligator_Strange_Named_03GC02,,,"<string key=""VC_Alligator_Strange_Named_03GC02"">Alligator_Strange_Named_03GC02</string>",,true,true,,
Alligator_Strange_Named_05WC02,@VC_Alligator_Strange_Named_05WC02,,,"<string key=""VC_Alligator_Strange_Named_05WC02"">Alligator_Strange_Named_05WC02</string>",,true,true,,
Alligator_Strange_Named_08QP01,@VC_Alligator_Strange_Named_08QP01,,,"<string key=""VC_Alligator_Strange_Named_08QP01"">Alligator_Strange_Named_08QP01</string>",Ebonscale_Alligator,true,true,Objects\Characters\npc\natural\alligator\alligator_alt6_matgroup.mtl,
Alligator_Strange_Named_08QP03,@VC_Alligator_Strange_Named_08QP03,,,"<string key=""VC_Alligator_Strange_Named_08QP03"">Alligator_Strange_Named_08QP03</string>",,true,true,Objects\Characters\npc\natural\alligator\alligator_alta_matgroup.mtl,
Alligator_Young,@VC_Alligator_Young,,,"<string key=""VC_Alligator_Young"">Alligator_Young</string>",,,,,
Alligator_Young_04NW11a,@VC_Alligator_Young_04NW11a,,,"<string key=""VC_Alligator_Young_04NW11a"">Alligator_Young_04NW11a</string>",Stonetooth,,,,
Alligator_Young_04NW11b,@VC_Alligator_Young_04NW11b,,,"<string key=""VC_Alligator_Young_04NW11b"">Alligator_Young_04NW11b</string>",Riverworn,,,,
Alligator_Young_04NW11c,@VC_Alligator_Young_04NW11c,,,"<string key=""VC_Alligator_Young_04NW11c"">Alligator_Young_04NW11c</string>",Longshadow,,,,
Alligator_Young_05WC05b,@VC_Alligator_Young_05WC05b,,,"<string key=""VC_Alligator_Young_05WC05b"">Alligator_Young_05WC05b</string>",Marooned,,,,
Alligator_Young_05WC05c,@VC_Alligator_Young_05WC05c,,,"<string key=""VC_Alligator_Young_05WC05c"">Alligator_Young_05WC05c</string>",Cloudhulk,,,,
Alligator_Young_05WC06,@VC_Alligator_Young_05WC06,,,"<string key=""VC_Alligator_Young_05WC06"">Alligator_Young_05WC06</string>",Shoreside,,,,
Alligator_Young_05WC07,@VC_Alligator_Young_05WC07,,,"<string key=""VC_Alligator_Young_05WC07"">Alligator_Young_05WC07</string>",Bleachwood,,,,
Alligator_Young_05WC08,@VC_Alligator_Young_05WC08,,,"<string key=""VC_Alligator_Young_05WC08"">Alligator_Young_05WC08</string>",Mistywater,,,,
Alligator_Young_06SW02,@VC_Alligator_Young_06SW02,,,"<string key=""VC_Alligator_Young_06SW02"">Alligator_Young_06SW02</string>",Swivelshot,,,,
Alligator_Young_06SW07,@VC_Alligator_Young_06SW07,,,"<string key=""VC_Alligator_Young_06SW07"">Alligator_Young_06SW07</string>",Keelsnap,,,,
Alligator_Young_08QP01a,@VC_Alligator_Young_08QP01a,,,"<string key=""VC_Alligator_Young_08QP01a"">Alligator_Young_08QP01a</string>",Scallywag,,,,
Alligator_Young_08QP02,@VC_Alligator_Young_08QP02,,,"<string key=""VC_Alligator_Young_08QP02"">Alligator_Young_08QP02</string>",ThunderCradle,,,,
Alligator_Young_08QP05a,@VC_Alligator_Young_08QP05a,,,"<string key=""VC_Alligator_Young_08QP05a"">Alligator_Young_08QP05a</string>",Stormcourt,,,,
Alligator_Young_09FL07,@VC_Alligator_Young_09FL07,,,"<string key=""VC_Alligator_Young_09FL07"">Alligator_Young_09FL07</string>",Anchorshot,,,,
Alligator_Young_09FL09a,@VC_Alligator_Young_09FL09a,,,"<string key=""VC_Alligator_Young_09FL09a"">Alligator_Young_09FL09a</string>",Cannonstorm,,,,
Alligator_Young_10WS03,@VC_Alligator_Young_10WS03,,,"<string key=""VC_Alligator_Young_10WS03"">Alligator_Young_10WS03</string>",Rothoard,,,,
Alligator_Young_10WS09,@VC_Alligator_Young_10WS09,,,"<string key=""VC_Alligator_Young_10WS09"">Alligator_Young_10WS09</string>",Wormsworn,,,,
Alligator_Young_10WS09_ELITE,@VC_Alligator_Young_10WS09_ELITE,,,"<string key=""VC_Alligator_Young_10WS09_ELITE"">Alligator_Young_10WS09_ELITE</string>",Skullworm,,,,
Alligator_Young_11MD00d,@VC_Alligator_Young_11MD00d,,,"<string key=""VC_Alligator_Young_11MD00d"">Alligator_Young_11MD00d</string>",Seasong,,,,
Alligator_Young_11MD05a,@VC_Alligator_Young_11MD05a,,,"<string key=""VC_Alligator_Young_11MD05a"">Alligator_Young_11MD05a</string>",Disavowed,,,,
Alligator_Young_12MB01,@VC_Alligator_Young_12MB01,,,"<string key=""VC_Alligator_Young_12MB01"">Alligator_Young_12MB01</string>",Turncoat,,,,
Alligator_Young_12MB05,@VC_Alligator_Young_12MB05,,,"<string key=""VC_Alligator_Young_12MB05"">Alligator_Young_12MB05</string>",Siltboot,,,,
Alligator_Young_12MB06a,@VC_Alligator_Young_12MB06a,,,"<string key=""VC_Alligator_Young_12MB06a"">Alligator_Young_12MB06a</string>",Bloodheart,,,,
Alligator_Young_12MB06b,@VC_Alligator_Young_12MB06b,,,"<string key=""VC_Alligator_Young_12MB06b"">Alligator_Young_12MB06b</string>",Gold_Sabre,,,,
Alligator_Young_12MB06c,@VC_Alligator_Young_12MB06c,,,"<string key=""VC_Alligator_Young_12MB06c"">Alligator_Young_12MB06c</string>",Dreadscythe,,,,
Alligator_Young_15EC02a,@VC_Alligator_Young_15EC02a,,,"<string key=""VC_Alligator_Young_15EC02a"">Alligator_Young_15EC02a</string>",Neptunite,,,,
Alligator_Young_15EC02c,@VC_Alligator_Young_15EC02c,,,"<string key=""VC_Alligator_Young_15EC02c"">Alligator_Young_15EC02c</string>",Eastshore,,,,
Alligator_Young_15EC04a,@VC_Alligator_Young_15EC04a,,,"<string key=""VC_Alligator_Young_15EC04a"">Alligator_Young_15EC04a</string>",Minnow,,,,
Alligator_Young_15EC04c,@VC_Alligator_Young_15EC04c,,,"<string key=""VC_Alligator_Young_15EC04c"">Alligator_Young_15EC04c</string>",Channelview,,,,
Alligator_Young_15EC04d,@VC_Alligator_Young_15EC04d,,,"<string key=""VC_Alligator_Young_15EC04d"">Alligator_Young_15EC04d</string>",Oceanview,,,,
Alligator_Young_15EC04e,@VC_Alligator_Young_15EC04e,,,"<string key=""VC_Alligator_Young_15EC04e"">Alligator_Young_15EC04e</string>",Damnation,,,,
Anchorshot,@VC_Anchorshot,,,"<string key=""VC_Anchorshot"">Anchorshot</string>",BASE,,,,
Ancient,@VC_Ancient,LyShineUI\Images\missions\kill\Ancient.png,,"<string key=""VC_Ancient"">Ancient</string>",BASE,,true,,
Ancient_Guardian_Javelineer_Named_07SM07,@VC_Ancient_Guardian_Javelineer_Named_07SM07,,,"<string key=""VC_Ancient_Guardian_Javelineer_Named_07SM07"">Ancient_Guardian_Javelineer_Named_07SM07</string>",,true,true,Objects\Characters\npc\supernatural\skeleton_ancient_javelineer\ancient_javelineer_matGroup.mtl,
Ancient_Guardian_Mage_Named_07SM07,@VC_Ancient_Guardian_Mage_Named_07SM07,,,"<string key=""VC_Ancient_Guardian_Mage_Named_07SM07"">Ancient_Guardian_Mage_Named_07SM07</string>",,true,true,Objects\Characters\npc\supernatural\skeleton_ancient_mage\ancient_mage_matGroup.mtl,
Ancient_Guardian_Reaver_03GC10,@VC_Ancient_Guardian_Reaver_03GC10,,,"<string key=""VC_Ancient_Guardian_Reaver_03GC10"">Ancient_Guardian_Reaver_03GC10</string>",Rimebone,,,Objects\Characters\npc\supernatural\skeletonGuardian\skeletonGuardian_var01_matGroup.mtl,
Ancient_Guardian_Reaver_03GC10a,@VC_Ancient_Guardian_Reaver_03GC10a,,,"<string key=""VC_Ancient_Guardian_Reaver_03GC10a"">Ancient_Guardian_Reaver_03GC10a</string>",Winterwalk,,,Objects\Characters\npc\supernatural\skeletonGuardian\skeletonGuardian_var01_matGroup.mtl,
Ancient_Guardian_Reaver_03GC10b,@VC_Ancient_Guardian_Reaver_03GC10b,,,"<string key=""VC_Ancient_Guardian_Reaver_03GC10b"">Ancient_Guardian_Reaver_03GC10b</string>",Rimespire,,,Objects\Characters\npc\supernatural\skeletonGuardian\skeletonGuardian_var01_matGroup.mtl,
Ancient_Guardian_Reaver_03GC10c,@VC_Ancient_Guardian_Reaver_03GC10c,,,"<string key=""VC_Ancient_Guardian_Reaver_03GC10c"">Ancient_Guardian_Reaver_03GC10c</string>",Frosttorrent,,,Objects\Characters\npc\supernatural\skeletonGuardian\skeletonGuardian_var01_matGroup.mtl,
Ancient_Guardian_Reaver_07SM07,@VC_Ancient_Guardian_Reaver_07SM07,,,"<string key=""VC_Ancient_Guardian_Reaver_07SM07"">Ancient_Guardian_Reaver_07SM07</string>",Rockruins,,,Objects\Characters\npc\supernatural\skeletonGuardian\skeletonGuardian_var03_matGroup.mtl,
Ancient_Guardian_Reaver_11MD02,@VC_Ancient_Guardian_Reaver_11MD02,,,"<string key=""VC_Ancient_Guardian_Reaver_11MD02"">Ancient_Guardian_Reaver_11MD02</string>",Nembus,,,,
Ancient_Guardian_Reaver_13WF02,@VC_Ancient_Guardian_Reaver_13WF02,,,"<string key=""VC_Ancient_Guardian_Reaver_13WF02"">Ancient_Guardian_Reaver_13WF02</string>",Starbound,,,,
Ancient_Javelineer,@VC_Ancient_Javelineer,,,"<string key=""VC_Ancient_Javelineer"">Ancient_Javelineer</string>",BASE,,,,
Ancient_Mage,@VC_Ancient_Mage,,,"<string key=""VC_Ancient_Mage"">Ancient_Mage</string>",BASE,,,,
AncientGuardian_Heavy_Boss_Named_DG_Everfall_00,@VC_AncientGuardian_Heavy_Boss_Named_DG_Everfall_00,,,"<string key=""VC_AncientGuardian_Heavy_Boss_Named_DG_Everfall_00"">AncientGuardian_Heavy_Boss_Named_DG_Everfall_00</string>",Starstone,true,true,,
AncientGuardian_Heavy_Named_00,@VC_AncientGuardian_Heavy_Named_00,,,"<string key=""VC_AncientGuardian_Heavy_Named_00"">AncientGuardian_Heavy_Named_00</string>",Shattered,true,true,,
AncientGuardian_Javelin_13WF02,@VC_AncientGuardian_Javelin_13WF02,,,"<string key=""VC_AncientGuardian_Javelin_13WF02"">AncientGuardian_Javelin_13WF02</string>",Starbound,,,Objects\Characters\npc\supernatural\skeleton_ancient_javelineer\ancient_javelineer_var02_matGroup.mtl,
AncientGuardian_Javelin_13WF05,@VC_AncientGuardian_Javelin_13WF05,,,"<string key=""VC_AncientGuardian_Javelin_13WF05"">AncientGuardian_Javelin_13WF05</string>",Skysworn,,,Objects\Characters\npc\supernatural\skeleton_ancient_javelineer\ancient_javelineer_var02_matGroup.mtl,
AncientGuardian_Javelineer_04NW07,@VC_AncientGuardian_Javelineer_04NW07,,,"<string key=""VC_AncientGuardian_Javelineer_04NW07"">AncientGuardian_Javelineer_04NW07</string>",Arcturian,,,Objects\Characters\npc\supernatural\skeleton_ancient_javelineer\ancient_javelineer_var03_matGroup.mtl,
AncientGuardian_Javelineer_05WC02,@VC_AncientGuardian_Javelineer_05WC02,,,"<string key=""VC_AncientGuardian_Javelineer_05WC02"">AncientGuardian_Javelineer_05WC02</string>",Soulmend,,,,
AncientGuardian_Javelineer_05WC09,@VC_AncientGuardian_Javelineer_05WC09,,,"<string key=""VC_AncientGuardian_Javelineer_05WC09"">AncientGuardian_Javelineer_05WC09</string>",Starvault,,,,
AncientGuardian_Javelineer_06SW02,@VC_AncientGuardian_Javelineer_06SW02,,,"<string key=""VC_AncientGuardian_Javelineer_06SW02"">AncientGuardian_Javelineer_06SW02</string>",Starstream,,,Objects\Characters\npc\supernatural\skeleton_ancient_javelineer\ancient_javelineer_var03_matGroup.mtl,
AncientGuardian_Javelineer_09FL06,@VC_AncientGuardian_Javelineer_09FL06,,,"<string key=""VC_AncientGuardian_Javelineer_09FL06"">AncientGuardian_Javelineer_09FL06</string>",Tutelary,,,Objects\Characters\npc\supernatural\skeleton_ancient_javelineer\ancient_javelineer_var03_matGroup.mtl,
AncientGuardian_Javelineer_09FL08,@VC_AncientGuardian_Javelineer_09FL08,,,"<string key=""VC_AncientGuardian_Javelineer_09FL08"">AncientGuardian_Javelineer_09FL08</string>",Brightbeacon,,,Objects\Characters\npc\supernatural\skeleton_ancient_javelineer\ancient_javelineer_var03_matGroup.mtl,
AncientGuardian_Javelineer_11MD00a,@VC_AncientGuardian_Javelineer_11MD00a,,,"<string key=""VC_AncientGuardian_Javelineer_11MD00a"">AncientGuardian_Javelineer_11MD00a</string>",Drenchsky,,,Objects\Characters\npc\supernatural\skeleton_ancient_javelineer\ancient_javelineer_var02_matGroup.mtl,
AncientGuardian_Javelineer_11MD00b,@VC_AncientGuardian_Javelineer_11MD00b,,,"<string key=""VC_AncientGuardian_Javelineer_11MD00b"">AncientGuardian_Javelineer_11MD00b</string>",Carrionstar,,,Objects\Characters\npc\supernatural\skeleton_ancient_javelineer\ancient_javelineer_var02_matGroup.mtl,
AncientGuardian_Javelineer_11MD00e,@VC_AncientGuardian_Javelineer_11MD00e,,,"<string key=""VC_AncientGuardian_Javelineer_11MD00e"">AncientGuardian_Javelineer_11MD00e</string>",Novaguard,,,Objects\Characters\npc\supernatural\skeleton_ancient_javelineer\ancient_javelineer_var02_matGroup.mtl,
AncientGuardian_Javelineer_11MD00f,@VC_AncientGuardian_Javelineer_11MD00f,,,"<string key=""VC_AncientGuardian_Javelineer_11MD00f"">AncientGuardian_Javelineer_11MD00f</string>",Fineseer,,,Objects\Characters\npc\supernatural\skeleton_ancient_javelineer\ancient_javelineer_var02_matGroup.mtl,
AncientGuardian_Javelineer_11MD00g,@VC_AncientGuardian_Javelineer_11MD00g,,,"<string key=""VC_AncientGuardian_Javelineer_11MD00g"">AncientGuardian_Javelineer_11MD00g</string>",Redeye,,,Objects\Characters\npc\supernatural\skeleton_ancient_javelineer\ancient_javelineer_var02_matGroup.mtl,
