LootTableID,AND/OR,RollBonusSetting,Conditions,ConditionOverridesRoll,TriggerLimitOnVisit,UseLevelGS,HWMMult,ChanceToExceedIndex,GSBonus,MaxRoll,IgnoreHWMGS,LootBiasingEnabled,LootBiasingChanceOverride,Item1,GearScoreRange1,PerkBucketOverrides1,Item2,GearScoreRange2,PerkBucketOverrides2,Item3,GearScoreRange3,PerkOverrides3,Item4,GearScoreRange4,PerkOverrides4,Item5,GearScoreRange5,PerkOverrides5,Item6,GearScoreRange6,PerkOverrides6,Item7,GearScoreRange7,PerkOverrides7,Item8,GearScoreRange8,PerkOverrides8,Item9,GearScoreRange9,PerkOverrides9,Item10,GearScoreRange10,PerkOverrides10,Item11,GearScoreRange11,PerkOverrides11,Item12,GearScoreRange12,PerkOverrides12,Item13,GearScoreRange13,PerkOverrides13,Item14,GearScoreRange14,PerkOverrides14,Item15,GearScoreRange15,PerkOverrides15,Item16,GearScoreRange16,PerkOverrides16,Item17,GearScoreRange17,PerkOverrides17,Item18,GearScoreRange18,PerkOverrides18,Item19,GearScoreRange19,PerkOverrides19,Item20,GearScoreRange20,PerkOverrides20,Item21,GearScoreRange21,PerkOverrides21,Item22,GearScoreRange22,PerkOverrides22,Item23,GearScoreRange23,PerkOverrides23,Item24,GearScoreRange24,PerkOverrides24,Item25,GearScoreRange25,PerkOverrides25,Item26,GearScoreRange26,PerkOverrides26,Item27,GearScoreRange27,PerkOverrides27,Item28,GearScoreRange28,PerkOverrides28,Item29,GearScoreRange29,PerkOverrides29,Item30,GearScoreRange30,PerkOverrides30,Item31,GearScoreRange31,PerkOverrides31,Item32,GearScoreRange32,PerkOverrides32,Item33,GearScoreRange33,PerkOverrides33
TreeMedium_Qty,,,,,,,,,,,,,,15-25,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreeMedium_Probs,,,,,,,,,,100000,,,,0,,,101000,,,101000,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BananaTreeTiny,AND,AddToRoll,,,,,,,,,,,,WoodT1,,,[LTID]LoggingResources,,,[LTID]LoggingResourcesT31,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,Gatherable_Research_Strange_Wood_T2,,,BananaT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BananaTreeTiny_Qty,,,,,,,,,,,,,,4-9,,,1,,,1,,,1,,,1,,,1,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BananaTreeTiny_Probs,,,,,,,,,,100000,,,,0,,,101000,,,101000,,,0,,,0,,,98000,,,55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BananaTreeSmall,AND,AddToRoll,,,,,,,,,,,,WoodT1,,,[LTID]LoggingResources,,,[LTID]LoggingResourcesT31,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,Gatherable_Research_Strange_Wood_T2,,,BananaT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BananaTreeSmall_Qty,,,,,,,,,,,,,,10-14,,,1,,,1,,,1,,,1,,,1,,,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BananaTreeSmall_Probs,,,,,,,,,,100000,,,,0,,,101000,,,101000,,,0,,,0,,,98000,,,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BananaTreeMedium,AND,AddToRoll,,,,,,,,,,,,WoodT1,,,[LTID]LoggingResources,,,[LTID]LoggingResourcesT31,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,Gatherable_Research_Strange_Wood_T2,,,BananaT1,,,BananaT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BananaTreeMedium_Qty,,,,,,,,,,,,,,15-25,,,1,,,1,,,1,,,1,,,1,,,0-3,,,0-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BananaTreeMedium_Probs,,,,,,,,,,100000,,,,0,,,101000,,,101000,,,0,,,0,,,98000,,,70000,,,105000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreeLarge,AND,AddToRoll,,,,,,,,,,,,WoodT2,,,[LTID]LoggingResources,,,[LTID]LoggingResourcesT31,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,Gatherable_Research_Strange_Wood_T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreeLarge_Qty,,,,,,,,,,,,,,12-18,,,1,,,1,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreeLarge_Probs,,,,,,,,,,100000,,,,0,,,101000,,,101000,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreeHuge,AND,AddToRoll,,,,,,,,,,,,WoodT2,,,[LTID]LoggingResources,,,[LTID]LoggingResourcesT31,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,Gatherable_Research_Strange_Wood_T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreeHuge_Qty,,,,,,,,,,,,,,19-25,,,1,,,1,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreeHuge_Probs,,,,,,,,,,100000,,,,0,,,101000,,,101000,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FallTreeSmall,AND,AddToRoll,,,,,,,,,,,,WoodT1,,,[LTID]LoggingResources,,,[LTID]LoggingResourcesT31,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,Gatherable_Research_Strange_Wood_T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FallTreeSmall_Qty,,,,,,,,,,,,,,6-10,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FallTreeSmall_Probs,,,,,,,,,,100000,,,,0,,,101000,,,101000,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FallTreeMedium,AND,AddToRoll,,,,,,,,,,,,WoodT1,,,[LTID]LoggingResources,,,[LTID]LoggingResourcesT31,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,Gatherable_Research_Strange_Wood_T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FallTreeMedium_Qty,,,,,,,,,,,,,,15-25,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FallTreeMedium_Probs,,,,,,,,,,100000,,,,0,,,101000,,,101000,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FallTreeLarge,AND,AddToRoll,,,,,,,,,,,,WoodT2,,,[LTID]LoggingResources,,,[LTID]LoggingResourcesT31,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,Gatherable_Research_Strange_Wood_T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FallTreeLarge_Qty,,,,,,,,,,,,,,12-18,,,1,,,1,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FallTreeLarge_Probs,,,,,,,,,,100000,,,,0,,,101000,,,101000,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinterTreeSmall,AND,AddToRoll,,,,,,,,,,,,WoodT1,,,[LTID]LoggingResources,,,[LTID]LoggingResourcesT31,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,Gatherable_Research_Strange_Wood_T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinterTreeSmall_Qty,,,,,,,,,,,,,,6-10,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinterTreeSmall_Probs,,,,,,,,,,100000,,,,0,,,101000,,,101000,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinterTreeMedium,AND,AddToRoll,,,,,,,,,,,,WoodT1,,,[LTID]LoggingResources,,,[LTID]LoggingResourcesT31,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,Gatherable_Research_Strange_Wood_T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinterTreeMedium_Qty,,,,,,,,,,,,,,15-25,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinterTreeMedium_Probs,,,,,,,,,,100000,,,,0,,,101000,,,101000,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinterTreeLarge,AND,AddToRoll,,,,,,,,,,,,WoodT2,,,[LTID]LoggingResources,,,[LTID]LoggingResourcesT31,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,Gatherable_Research_Strange_Wood_T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinterTreeLarge_Qty,,,,,,,,,,,,,,12-18,,,1,,,1,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinterTreeLarge_Probs,,,,,,,,,,100000,,,,0,,,101000,,,101000,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeTiny,AND,AddToRoll,,,,,,,,,,,,WoodT4,,,[LTID]WyrdwoodLoggingResources,,,[LTID]WyrdwoodLoggingResourcesT41,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,[LTID]SE_Music_Wyrd_Loot,,,Gatherable_Research_Unusual_Wood_T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeTiny_Qty,,,,,,,,,,,,,,6-10,,,1,,,1,,,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeTiny_Probs,,,,,,,,,,100000,,,,0,,,101450,,,101450,,,0,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeSmall,AND,AddToRoll,,,,,,,,,,,,WoodT4,,,[LTID]WyrdwoodLoggingResources,,,[LTID]WyrdwoodLoggingResourcesT41,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,[LTID]SE_Music_Wyrd_Loot,,,Gatherable_Research_Unusual_Wood_T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeSmall_Qty,,,,,,,,,,,,,,11-17,,,1,,,1,,,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeSmall_Probs,,,,,,,,,,100000,,,,0,,,101450,,,101450,,,0,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeMedium,AND,AddToRoll,,,,,,,,,,,,WoodT4,,,[LTID]WyrdwoodLoggingResources,,,[LTID]WyrdwoodLoggingResourcesT41,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,[LTID]SE_Music_Wyrd_Loot,,,Gatherable_Research_Unusual_Wood_T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeMedium_Qty,,,,,,,,,,,,,,18-24,,,1,,,1,,,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeMedium_Probs,,,,,,,,,,100000,,,,0,,,101450,,,101450,,,0,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeLarge,AND,AddToRoll,,,,,,,,,,,,WoodT4,,,[LTID]WyrdwoodLoggingResources,,,[LTID]WyrdwoodLoggingResourcesT41,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,[LTID]SE_Music_Wyrd_Loot,,,Gatherable_Research_Unusual_Wood_T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeLarge_Qty,,,,,,,,,,,,,,25-32,,,1,,,1,,,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeLarge_Probs,,,,,,,,,,100000,,,,0,,,101450,,,101450,,,0,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeHuge,AND,AddToRoll,,,,,,,,,,,,WoodT4,,,[LTID]WyrdwoodLoggingResources,,,[LTID]WyrdwoodLoggingResourcesT41,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,[LTID]SE_Music_Wyrd_Loot,,,Gatherable_Research_Unusual_Wood_T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeHuge_Qty,,,,,,,,,,,,,,33-40,,,1,,,1,,,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WyrdwoodTreeHuge_Probs,,,,,,,,,,100000,,,,0,,,101450,,,101450,,,0,,,0,,,0,,,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeTiny,AND,AddToRoll,,,,,,,,,,,,WoodT5,,,[LTID]IronwoodLoggingResources,,,[LTID]IronwoodLoggingResourcesT51,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,[LTID]SE_Music_Ironwood_Loot,,,Gatherable_Research_Abnormal_Wood_T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeTiny_Qty,,,,,,,,,,,,,,6-10,,,1,,,1,,,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeTiny_Probs,,,,,,,,,,100000,,,,0,,,101800,,,101800,,,0,,,0,,,0,,,103000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeSmall,AND,AddToRoll,,,,,,,,,,,,WoodT5,,,[LTID]IronwoodLoggingResources,,,[LTID]IronwoodLoggingResourcesT51,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,[LTID]SE_Music_Ironwood_Loot,,,Gatherable_Research_Abnormal_Wood_T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeSmall_Qty,,,,,,,,,,,,,,11-17,,,1,,,1,,,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeSmall_Probs,,,,,,,,,,100000,,,,0,,,101800,,,101800,,,0,,,0,,,0,,,102000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeMedium,AND,AddToRoll,,,,,,,,,,,,WoodT5,,,[LTID]IronwoodLoggingResources,,,[LTID]IronwoodLoggingResourcesT51,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,[LTID]SE_Music_Ironwood_Loot,,,Gatherable_Research_Abnormal_Wood_T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeMedium_Qty,,,,,,,,,,,,,,18-24,,,1,,,1,,,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeMedium_Probs,,,,,,,,,,100000,,,,0,,,101800,,,101800,,,0,,,0,,,0,,,101000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeLarge,AND,AddToRoll,,,,,,,,,,,,WoodT5,,,[LTID]IronwoodLoggingResources,,,[LTID]IronwoodLoggingResourcesT51,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,[LTID]SE_Music_Ironwood_Loot,,,Gatherable_Research_Abnormal_Wood_T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeLarge_Qty,,,,,,,,,,,,,,25-32,,,1,,,1,,,1,,,3,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeLarge_Probs,,,,,,,,,,100000,,,,0,,,101800,,,101800,,,0,,,0,,,0,,,101000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IronwoodTreeHuge,AND,AddToRoll,,,,,,,,,,,,WoodT5,,,[LTID]IronwoodLoggingResources,,,[LTID]IronwoodLoggingResourcesT51,,,[LTID]BagofEarthGifts_Roll,,,[LTID]Loot_ToolMotes,,,[LTID]SE_Music_Ironwood_Loot,,,Gatherable_Research_Abnormal_Wood_T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
