RecipeID,FirstCraftAchievementId,RecipeNameOverride,CraftingCategory,CraftingGroup,AdditionalFilterText,RecipeTags,DisplayIngredients,bKnownByDefault,bListedByDefault,CraftAll,IsRefining,IsProcedural,MaxPerkItemsAllowed,ExpertiseBumpChanceOverride,IsExpertiseBasedGS,HWMProgressionID,IsTemporary,CraftingFee,UseCraftingTax,Tradeskill,RecipeLevel,StationType1,StationType2,StationType3,StationType4,CraftingTime,OutputQty,ItemID,SkipGrantItems,SkipGrantItemsDesc,SkipGrantItemsTitle,SkipGrantItemsBody,BaseGearScore,BaseTier,ProceduralTierID1,ProceduralTierID2,ProceduralTierID3,ProceduralTierID4,ProceduralTierID5,RequiredAchievementID,UnlockedAchievementID,UnlockedAchievementBlocksRecrafting,Ingredient1,Type1,Ingredient2,Type2,Ingredient3,Type3,Ingredient4,Type4,Ingredient5,Type5,Ingredient6,Type6,Ingredient7,Type7,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,GameEventID,Game Event Validation,CooldownSeconds,CooldownQuantity,GearScoreBonus,GearScoreReduction,BonusItemChance,BonusItemChanceIncrease,BonusItemChanceDecrease,AttributeCost,PerkCost,GemSlotCost
IngotPreciousT3,FC_IngotPreciousT3,,RefinedResources,MetalPrecious,@Metal_CategoryName,,,true,true,true,true,false,,,,,false,7,0,Smelting,100,smelting4,,,,1,1,IngotPreciousT3,,,,,,,,,,,,,,,OrePreciousT3,Item,IngotPreciousT2,Item,Flux,Category_Only,,,,,,,,,6,2,1,,,,,Craft_SmeltingT4,true,,,,,-0.07,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
FaeIronT1,FC_FaeIronT1,,RefinedResources,Conversion3,@Metal_CategoryName,,,true,true,true,true,false,,,,,false,1,0,Smelting,0,smelting3,,,,1,1,FaeIronT1,,,,,,,,,,,,,,,OreT1,Item,,,,,,,,,,,,,50,,,,,,,Craft_SmeltingT2,true,86400,10,,,-0.2,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
VoidsteelT1,FC_VoidsteelT1,,RefinedResources,Conversion3,@Metal_CategoryName,,,true,true,true,true,false,,,,,false,4,0,Smelting,50,smelting3,,,,1,1,VoidsteelT1,,,,,,,,,,,,,,,OreT1,Item,,,,,,,,,,,,,100,,,,,,,Craft_SmeltingT3,true,86400,10,,,-0.05,"0.25,0.5,0.75,2","-0.05,-0.1,-0.15,-0.2,-0.26",,,
AzuriteChunkT1,FC_AzuriteChunkT1,,RefinedResources,Conversion3,@Metal_CategoryName,,,true,true,true,true,false,,,,,false,7,0,Smelting,100,smelting3,,,,1,1,AzuriteChunkT1,,,,,,,,,,,,,,,OreT4,Item,,,,,,,,,,,,,150,,,,,,,Craft_SmeltingT3,true,86400,10,,,-0.07,"0.25,0.5,0.75,2","-0.05,-0.1,-0.15,-0.2,-0.26",,,
BlessedCrucibleT1,FC_BlessedCrucibleT1,,RefinedResources,Conversion3,@Metal_CategoryName,,,true,true,true,true,false,,,,,false,7,0,Smelting,100,smelting3,,,,1,1,BlessedCrucibleT1,,,,,,,,,,,,,,,OreT4,Item,,,,,,,,,,,,,150,,,,,,,Craft_SmeltingT3,true,86400,10,,,-0.07,"0.25,0.5,0.75,2","-0.05,-0.1,-0.15,-0.2,-0.26",,,
IngotT2_Down,,@IngotT2_Down_Name,ResourceDowngrade,Metal,@Metal_CategoryName,,,true,true,true,true,true,,,,,false,1,0,Smelting,10,smelting3,,,,1,2,,,,,,,3,,,IngotT2,,,,,,IngotT3,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
IngotT3_Down,,@IngotT3_Down_Name,ResourceDowngrade,Metal,@Metal_CategoryName,,,true,true,true,true,true,,,,,false,4,0,Smelting,20,smelting3,,,,1,2,,,,,,,4,,,,IngotT3,,,,,IngotT4,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
IngotT4_Down,,@IngotT4_Down_Name,ResourceDowngrade,Metal,@Metal_CategoryName,,,true,true,true,true,true,,,,,false,7,0,Smelting,30,smelting3,,,,1,2,,,,,,,5,,,,,IngotT4,,,,IngotT5,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
IngotPreciousT1_Down,,@IngotPreciousT1_Down_Name,ResourceDowngrade,MetalPrecious,@Metal_CategoryName,,,true,true,true,true,true,,,,,false,1,0,Smelting,15,smelting3,,,,1,2,,,,,,,3,,,IngotPreciousT1,,,,,,IngotPreciousT2,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
IngotPreciousT2_Down,,@IngotPreciousT2_Down_Name,ResourceDowngrade,MetalPrecious,@Metal_CategoryName,,,true,true,true,true,true,,,,,false,4,0,Smelting,25,smelting3,,,,1,2,,,,,,,4,,,,IngotPreciousT2,,,,,IngotPreciousT3,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
IngotPreciousT3_Down,,@IngotPreciousT3_Down_Name,ResourceDowngrade,MetalPrecious,@Metal_CategoryName,,,false,false,true,true,true,,,,,false,7,0,Smelting,35,smelting3,,,,1,2,,,,,,,5,,,,,IngotPreciousT3,,,,IngotPreciousT3,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
VoidbentIngot,FC_VoidbentIngot,,RefinedResources,Metal,@Metal_CategoryName,,,true,true,true,true,false,,,,,false,100,0,Smelting,200,smelting5,,,,1,1,VoidbentIngot,,,,,,,,,,,,,,,VoidOre,Item,VoidEssence,Item,KeyPart_Core,Item,,,,,,,,,1,1,10,,,,,Craft_SmeltingT51,,,,,,,,,,,
CinnabarT1,FC_CinnabarT1,,RefinedResources,Conversion3,@Metal_CategoryName,,,true,true,true,true,false,,,,,false,20,0,Smelting,200,smelting5,,,,1,1,CinnabarT1,,,,,,,,,,,,,,,OreT5,Item,,,,,,,,,,,,,250,,,,,,,Craft_SmeltingT3,,86400,10,,,,,,,,
TolviumT1,FC_TolviumT1,,RefinedResources,Conversion3,@Metal_CategoryName,,,true,true,true,true,false,,,,,false,20,0,Smelting,200,smelting5,,,,1,1,TolviumT1,,,,,,,,,,,,,,,OreT5,Item,,,,,,,,,,,,,250,,,,,,,Craft_SmeltingT3,,86400,10,,,,,,,,
SulfurT1,FC_SulfurT1,,RefinedResources,Conversion3,@Metal_CategoryName,,,true,true,true,true,false,,,,,false,13,0,Smelting,150,smelting5,,,,1,1,SulfurT1,,,,,,,,,,,,,,,SulfurChunk,Item,Flux,Category_Only,,,,,,,,,,,5,1,,,,,,Craft_SmeltingT5,true,,,,,-0.07,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
Leatherworking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,
LeatherT2,FC_LeatherT2,,RefinedResources,Leather,,,,true,true,true,true,false,,,,,false,1,0,Leatherworking,0,tanning3,,,,1,1,LeatherT2,,,,,,,,,,,,,,,RawhideT1,Item,,,,,,,,,,,,,4,,,,,,,Craft_LeatherworkingT2,true,,,,,0,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
LeatherT3,FC_LeatherT3,,RefinedResources,Leather,,,,true,true,true,true,false,,,,,false,4,0,Leatherworking,50,tanning3,,,,1,1,LeatherT3,,,,,,,,,,,,,,,LeatherT2,Item,Tannin,Category_Only,,,,,,,,,,,4,1,,,,,,Craft_LeatherworkingT3,true,,,,,-0.02,"0,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
LeatherT4,FC_LeatherT4,,RefinedResources,Leather,,,,true,true,true,true,false,,,,,false,7,0,Leatherworking,100,tanning4,,,,1,1,LeatherT4,,,,,,,,,,,,,,,RawhideT4,Item,LeatherT3,Item,Tannin,Category_Only,,,,,,,,,6,2,1,,,,,Craft_LeatherworkingT4,true,,,,,-0.05,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
LeatherT5,FC_LeatherT5,,RefinedResources,Leather,,,,true,true,true,true,false,,,,,false,13,0,Leatherworking,150,tanning5,,,,1,1,LeatherT5,,,,,,,,,,,,,,,HideT5,Category_Only,LeatherT4,Item,Tannin,Category_Only,,,,,,,,,8,2,1,,,,,Craft_LeatherworkingT5,true,,,,,-0.07,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
LeatherT51,FC_LeatherT51,,RefinedResources,Leather,,,,true,true,true,true,false,,,,,false,19,0,Leatherworking,200,tanning5,,,,1,1,LeatherT51,,,,,,,,,,,,,,,LeatherT5,Item,SmolderhideT1,Item,ScarhideT1,Item,TanninT5,Item,,,,,,,5,1,1,1,,,,Craft_LeatherworkingT51,true,86400,10,,,-0.2,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
ChitinHideT5,FC_ChitinHideT5,,RefinedResources,Leather,,,,true,true,true,true,false,,,,,false,19,0,Leatherworking,200,tanning5,,,,1,1,ChitinLeatherT5,,,,,,,,,,,,,,,ChitinHideT5,Item,LeatherT4,Item,Tannin,Category_Only,,,,,,,,,8,2,1,,,,,Craft_LeatherworkingT5,true,,,,,-0.07,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
RagehideT1,FC_RagehideT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,1,0,Leatherworking,0,tanning3,,,,1,1,RagehideT1,,,,,,,,,,,,,,,RawhideT1,Item,,,,,,,,,,,,,50,,,,,,,Craft_LeatherworkingT2,true,86400,10,,,-0.02,"0,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
ShadowfurT1,FC_ShadowfurT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,4,0,Leatherworking,50,tanning3,,,,1,1,ShadowfurT1,,,,,,,,,,,,,,,RawhideT1,Item,,,,,,,,,,,,,100,,,,,,,Craft_LeatherworkingT3,true,86400,10,,,-0.02,"0,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
ScalyHideT1,FC_ScalyHideT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,4,0,Leatherworking,50,tanning3,,,,1,1,ScalyHideT1,,,,,,,,,,,,,,,RawhideT1,Item,,,,,,,,,,,,,100,,,,,,,Craft_LeatherworkingT3,true,86400,10,,,-0.05,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
ShifthideT1,FC_ShifthideT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,7,0,Leatherworking,100,tanning3,,,,1,1,ShifthideT1,,,,,,,,,,,,,,,RawhideT4,Item,,,,,,,,,,,,,150,,,,,,,Craft_LeatherworkingT3,true,86400,10,,,-0.07,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
BrightscaleHideT1,FC_BrightscaleHideT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,7,0,Leatherworking,100,tanning3,,,,1,1,BrightscaleHideT1,,,,,,,,,,,,,,,RawhideT4,Item,,,,,,,,,,,,,150,,,,,,,Craft_LeatherworkingT3,true,86400,10,,,-0.07,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
LeatherT2_Down,,@LeatherT2_Down_Name,ResourceDowngrade,Leather,,,,true,true,true,true,true,,,,,false,1,0,Leatherworking,10,tanning3,,,,1,2,,,,,,,3,,,LeatherT2,,,,,,LeatherT3,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
LeatherT3_Down,,@LeatherT3_Down_Name,ResourceDowngrade,Leather,,,,true,true,true,true,true,,,,,false,4,0,Leatherworking,20,tanning3,,,,1,2,,,,,,,4,,,,LeatherT3,,,,,LeatherT4,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
LeatherT4_Down,,@LeatherT4_Down_Name,ResourceDowngrade,Leather,,,,true,true,true,true,true,,,,,false,7,0,Leatherworking,30,tanning3,,,,1,2,,,,,,,5,,,,,LeatherT4,,,,LeatherT5,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
SmolderhideT1,FC_SmolderhideT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,20,0,Leatherworking,200,tanning5,,,,1,1,SmolderhideT1,,,,,,,,,,,,,,,RawhideT5,Item,,,,,,,,,,,,,250,,,,,,,Craft_LeatherworkingT3,,86400,10,,,,,,,,
ScarhideT1,FC_ScarhideT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,20,0,Leatherworking,200,tanning5,,,,1,1,ScarhideT1,,,,,,,,,,,,,,,RawhideT5,Item,,,,,,,,,,,,,250,,,,,,,Craft_LeatherworkingT3,,86400,10,,,,,,,,
Weaving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,
ClothT2,FC_ClothT2,,RefinedResources,Cloth,,,,true,true,true,true,false,,,,,false,1,0,Weaving,0,weaving3,,,,1,1,ClothT2,,,,,,,,,,,,,,,FiberT1,Item,,,,,,,,,,,,,4,,,,,,,Craft_WeavingT2,true,,,,,0,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
ClothT3,FC_ClothT3,,RefinedResources,Cloth,,,,true,true,true,true,false,,,,,false,4,0,Weaving,50,weaving3,,,,1,1,ClothT3,,,,,,,,,,,,,,,ClothT2,Item,Crossweave,Category_Only,,,,,,,,,,,4,1,,,,,,Craft_WeavingT3,true,,,,,-0.02,"0,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
ClothT4,FC_ClothT4,,RefinedResources,Cloth,,,,true,true,true,true,false,,,,,false,7,0,Weaving,100,weaving4,,,,1,1,ClothT4,,,,,,,,,,,,,,,FiberT4,Item,ClothT3,Item,Crossweave,Category_Only,,,,,,,,,6,2,1,,,,,Craft_WeavingT4,true,,,,,-0.05,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
ClothT5,FC_ClothT5,,RefinedResources,Cloth,,,,true,true,true,true,false,,,,,false,13,0,Weaving,150,weaving5,,,,1,1,ClothT5,,,,,,,,,,,,,,,FiberT5,Item,ClothT4,Item,Crossweave,Category_Only,,,,,,,,,8,2,1,,,,,Craft_WeavingT5,true,,,,,-0.07,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
ClothT51,FC_ClothT51,,RefinedResources,Cloth,,,,true,true,true,true,false,,,,,false,19,0,Weaving,200,weaving5,,,,1,1,ClothT51,,,,,,,,,,,,,,,ClothT5,Item,ScaleclothT1,Item,BlisterweaveT1,Item,ClothWeaveT5,Item,,,,,,,5,1,1,1,,,,Craft_WeavingT51,true,86400,10,,,-0.2,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
ShadeclothT1,FC_ShadeclothT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,1,0,Weaving,0,weaving3,,,,1,1,ShadeclothT1,,,,,,,,,,,,,,,FiberT1,Item,,,,,,,,,,,,,50,,,,,,,Craft_WeavingT2,true,86400,10,,,-0.02,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
PhasefiberT1,FC_PhasefiberT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,4,0,Weaving,50,weaving3,,,,1,1,PhasefiberT1,,,,,,,,,,,,,,,FiberT1,Item,,,,,,,,,,,,,100,,,,,,,Craft_WeavingT3,true,86400,10,,,-0.05,"0.25,0.5,0.75,2","-0.05,-0.1,-0.15,-0.2,-0.26",,,
GlintwoolT1,FC_GlintwoolT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,7,0,Weaving,100,weaving3,,,,1,1,GlintwoolT1,,,,,,,,,,,,,,,FiberT4,Item,,,,,,,,,,,,,150,,,,,,,Craft_WeavingT3,true,86400,10,,,-0.07,"0.25,0.5,0.75,3","-0.05,-0.1,-0.15,-0.2,-0.27",,,
ScalecordT1,FC_ScalecordT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,7,0,Weaving,100,weaving3,,,,1,1,ScalecordT1,,,,,,,,,,,,,,,FiberT4,Item,,,,,,,,,,,,,150,,,,,,,Craft_WeavingT3,true,86400,10,,,-0.07,"0.25,0.5,0.75,4","-0.05,-0.1,-0.15,-0.2,-0.28",,,
ClothT2_Down,,@ClothT2_Down_Name,ResourceDowngrade,Cloth,,,,true,true,true,true,true,,,,,false,1,0,Weaving,10,weaving3,,,,1,2,,,,,,,3,,,ClothT2,,,,,,ClothT3,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
ClothT3_Down,,@ClothT3_Down_Name,ResourceDowngrade,Cloth,,,,true,true,true,true,true,,,,,false,4,0,Weaving,20,weaving3,,,,1,2,,,,,,,4,,,,ClothT3,,,,,ClothT4,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
ClothT4_Down,,@ClothT4_Down_Name,ResourceDowngrade,Cloth,,,,true,true,true,true,true,,,,,false,7,0,Weaving,30,weaving3,,,,1,2,,,,,,,5,,,,,ClothT4,,,,ClothT5,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
ScaleclothT1,FC_ScaleclothT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,20,0,Weaving,200,weaving5,,,,1,1,ScaleclothT1,,,,,,,,,,,,,,,FiberT5,Item,,,,,,,,,,,,,250,,,,,,,Craft_WeavingT3,,86400,10,,,,,,,,
BlisterweaveT1,FC_BlisterweaveT1,,RefinedResources,Conversion3,,,,true,true,true,true,false,,,,,false,20,0,Weaving,200,weaving5,,,,1,1,BlisterweaveT1,,,,,,,,,,,,,,,FiberT5,Item,,,,,,,,,,,,,250,,,,,,,Craft_WeavingT3,,86400,10,,,,,,,,
Woodworking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,
TimberT2,FC_TimberT2,,RefinedResources,Planks,@Wood_CategoryName,,,true,true,true,true,false,,,,,false,1,0,Woodworking,0,carpentry3,,,,1,1,TimberT2,,,,,,,,,,,,,,,WoodT1,Item,,,,,,,,,,,,,4,,,,,,,Craft_WoodworkingT2,true,,,,,0,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
TimberT3,FC_TimberT3,,RefinedResources,Planks,@Wood_CategoryName,,,true,true,true,true,false,,,,,false,4,0,Woodworking,50,carpentry3,,,,1,1,TimberT3,,,,,,,,,,,,,,,WoodT2,Item,TimberT2,Item,Sandpaper,Category_Only,,,,,,,,,4,2,1,,,,,Craft_WoodworkingT3,true,,,,,-0.02,"0,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
TimberT4,FC_TimberT4,,RefinedResources,Planks,@Wood_CategoryName,,,true,true,true,true,false,,,,,false,7,0,Woodworking,100,carpentry4,,,,1,1,TimberT4,,,,,,,,,,,,,,,WoodT4,Item,TimberT3,Item,Sandpaper,Category_Only,,,,,,,,,6,2,1,,,,,Craft_WoodworkingT4,true,,,,,-0.05,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
TimberT5,FC_TimberT5,,RefinedResources,Planks,@Wood_CategoryName,,,true,true,true,true,false,,,,,false,13,0,Woodworking,150,carpentry5,,,,1,1,TimberT5,,,,,,,,,,,,,,,WoodT5,Item,TimberT4,Item,Sandpaper,Category_Only,,,,,,,,,8,2,1,,,,,Craft_WoodworkingT5,true,,,,,-0.07,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
TimberT51,FC_TimberT51,,RefinedResources,Planks,@Wood_CategoryName,,,true,true,true,true,false,,,,,false,19,0,Woodworking,200,carpentry5,,,,1,1,TimberT51,,,,,,,,,,,,,,,TimberT5,Item,WildwoodT1,Item,BarbvineT1,Item,SandpaperT5,Item,,,,,,,5,1,1,1,,,,Craft_WoodworkingT51,true,86400,10,,,-0.2,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
PetrifiedWoodT1,FC_PetrifiedWoodT1,,RefinedResources,Conversion3,@Wood_CategoryName,,,true,true,true,true,false,,,,,false,1,0,Woodworking,0,carpentry3,,,,1,1,PetrifiedWoodT1,,,,,,,,,,,,,,,WoodT1,Item,,,,,,,,,,,,,50,,,,,,,Craft_WoodworkingT2,true,86400,10,,,-0.02,"0.25,0.5,0.75,1","-0.05,-0.1,-0.15,-0.2,-0.25",,,
WhisperwoodT1,FC_WhisperwoodT1,,RefinedResources,Conversion3,@Wood_CategoryName,,,true,true,true,true,false,,,,,false,4,0,Woodworking,50,carpentry3,,,,1,1,WhisperwoodT1,,,,,,,,,,,,,,,WoodT2,Item,,,,,,,,,,,,,100,,,,,,,Craft_WoodworkingT3,true,86400,10,,,-0.05,"0.25,0.5,0.75,2","-0.05,-0.1,-0.15,-0.2,-0.26",,,
QuillBarkT1,FC_QuillBarkT1,,RefinedResources,Conversion3,@Wood_CategoryName,,,true,true,true,true,false,,,,,false,7,0,Woodworking,100,carpentry3,,,,1,1,QuillBarkT1,,,,,,,,,,,,,,,WoodT4,Item,,,,,,,,,,,,,150,,,,,,,Craft_WoodworkingT3,true,86400,10,,,-0.07,"0.25,0.5,0.75,3","-0.05,-0.1,-0.15,-0.2,-0.27",,,
EbonwoodT1,FC_EbonwoodT1,,RefinedResources,Conversion3,@Wood_CategoryName,,,true,true,true,true,false,,,,,false,7,0,Woodworking,100,carpentry3,,,,1,1,EbonwoodT1,,,,,,,,,,,,,,,WoodT4,Item,,,,,,,,,,,,,150,,,,,,,Craft_WoodworkingT3,true,86400,10,,,-0.07,"0.25,0.5,0.75,4","-0.05,-0.1,-0.15,-0.2,-0.28",,,
TimberT2_Down,,@TimberT2_Down_Name,ResourceDowngrade,Planks,@Wood_CategoryName,,,true,true,true,true,true,,,,,false,1,0,Woodworking,10,carpentry3,,,,1,2,,,,,,,3,,,TimberT2,,,,,,TimberT3,Item,SolventT5,Item,,,,,,,,,,,2,3,,,,,,,true,,,,,-1,,,,,
