DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier
Damned_1H_Club_Combo_02,Club,0,0,,Bullet,Heavy,Strike,,AI_Disease,TRUE,false,0.6,1,1,3,3,3,30,30,30,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1
Damned_2H_GreatAxe_Melee_Light,Axe,0,0,,Bullet,Light,Slash,,,,false,0.55,1,1,0,1,0,15,10,15,0,0.7,0,0.8,0,0.6,0,0.8,0,0.7,0,0.8,0,0.3,,0.5,Small,Small,3,0.3,1
Damned_2H_GreatAxe_Melee_Medium,Axe,0,0,,Bullet,Heavy,Slash,,,,false,0.85,1,1,2,2,2,25,10,25,0,1.25,0,0.8,0,0.9,0,0.8,0,1.25,0,0.8,0,0.7,,0.7,Small,Small,3,1,1
Damned_2H_GreatAxe_Melee_Heavy,Axe,0,0,,Bullet,Heavy,Slash,,,,false,1,1,1,3,3,3,30,30,30,0,1.75,0,0.8,0,1,0,0.8,0,1.75,0,0.8,0,1.2,,1.5,Small,Small,3,1.3,1
Damned_2H_GreatAxe_Combo_01,Sword,0,0,,Bullet,Heavy,Slash,,AI_Disease,TRUE,false,0.5,1,1,2,2,2,25,20,25,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1
Damned_2H_GreatAxee_Combo_02,Sword,0,0,,Bullet,Heavy,Slash,,AI_Disease,TRUE,false,0.6,1,1,3,3,3,30,30,30,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0.7,,0.5,Small,Small,3,0.8,1
Damned_Shield_Bash,Sword,0,0,,Bullet,Heavy,Strike,,,,false,0.75,1,1,3,3,3,30,25,30,0,2.25,0,0.8,0,2,0,0.8,0,3,0,0.8,0,1.2,,1.5,Small,Small,4,0.85,1
Damned_2H_Melee_Primary,Axe,0,0,,Bullet,,Slash,,,,false,1.35,1,1,0,1,0,20,10,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,0,0.33,1
Damned_Unarmed_Kick,Unarmed,0,0,,Bullet,Heavy,Strike,,,,false,0.88,1,1,2,2,2,30,15,30,0,1,0,0.8,0,0,0,0,0,1,0,0.8,0,0,,0,Small,Small,3,0.33,1
Damned_1H_Melee_Alternate,Sword,0,0,,Bullet,,Slash,,,,false,1.1,1,1,0,1,0,20,10,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,0,0.33,1
Damned_2H_Melee_Alternate,Sword,0,0,,Bullet,,Slash,,,,false,1.05,1,1,0,1,0,20,10,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,,0,Small,Small,0,0.33,1
Damned_2H_Melee_Heavy,Sword,0,0,,Bullet,,Slash,,,,false,1.25,1,1,3,3,3,30,30,30,0,0,0,0.8,0,1,0.45,0,0,0,0,0.8,0,0,,2,Small,Small,1,0.99,1
1H_Sword_Attack1,Sword,0,0,,Bullet,Light,Thrust,,,,false,0.15,1,1,0,1,0,30,10,30,0,2,0,0.8,0,0,0,0,0,2,0,0.8,0,0,,0,Small,Small,3,0.33,1
1H_Sword_Attack1_Slash,Sword,0,0,,Bullet,Light,Slash,,,,false,0.15,1,1,0,1,0,30,10,30,0,2,0,0.8,0,0,0,0,0,2,0,0.8,0,0,,0,Small,Small,3,0.33,1
Reaction_Breakout_Sword,Sword,1,0,,Bullet,Heavy,Slash,,,,false,0.6,1,1,3,3,3,30,20,30,0,2.5,0,0.8,0,2,0,0.8,0,2.5,0,0.8,0,0,,10,Small,Small,3,0.33,1
Reaction_Breakout_Club,Club,1,0,,Bullet,Heavy,Strike,,,,false,0.6,1,1,3,3,3,30,20,30,0,2.5,0,0.8,0,2,0,0.8,0,2.5,0,0.8,0,0,,10,Small,Small,1,0.33,1
Reaction_Breakout_Shield,Sword,1,0,,Bullet,Heavy,Strike,,,,false,0.6,1,1,3,3,3,30,20,30,0,2.5,0,0.8,0,2,0,0.8,0,2.5,0,0.8,0,0,,10,Small,Small,1,0.33,1
Reaction_Breakout_Axe,Axe,1,0,,Bullet,Heavy,Thrust,,,,false,0.6,1,1,3,3,3,30,20,30,0,2.5,0,0.8,0,2,0,0.8,0,2.5,0,0.8,0,0,,10,Small,Small,1,0.33,1
Fall,Fall,1,1,,Bullet,,Falling,,,,false,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,0,1,1
